item_id,order_id,product_id,quantity,unit_price,discount_percent
OI000079,O00033,P0078,4,35412.64,5
OI000080,O00034,P0046,4,25235.9,15
OI000081,O00034,P0055,5,47098.43,10
OI000082,O00034,P0040,1,47385.87,25
OI000083,O00034,P0041,1,31825.16,0
OI000084,O00035,P0012,2,28872.01,0
OI000085,O00035,P0037,5,46497.05,0
OI000086,O00036,P0066,2,24112.88,0
OI000087,O00036,P0052,1,30910.26,0
OI000088,O00036,P0055,5,37545.98,10
OI000089,O00036,P0068,5,2357.21,30
OI000090,O00037,P0068,2,8947.01,20
OI000091,O00037,P0018,5,17826.25,0
OI000092,O00038,P0064,4,8731.58,0
OI000093,O00038,P0044,2,41628.39,0
OI000094,O00038,P0038,3,24285.45,15
OI000095,O00038,P0028,1,36966.78,25
OI000096,O00039,P0040,5,41329.94,0
OI000097,O00039,P0060,5,42455.5,0
OI000098,O00040,P0001,5,23152.61,15
OI000099,O00040,P0046,-1,17648.65,5
OI000100,O00040,P0052,3,690.97,25
OI000101,O00041,P0026,1,26572.55,5
OI000102,O00041,P0053,1,45677.18,0
OI000103,O00041,P0020,3,11498.24,25
OI000104,O00041,P0048,3,18383.66,5
OI000105,O00042,P0014,4,32899.91,30
OI000106,O00042,P0021,2,17848.45,25
OI000107,O00042,P0001,3,44207.92,10
OI000108,O00043,P0025,3,2252.75,25
OI000109,O00044,P0043,1,8225.55,10
OI000110,O00044,P0062,3,6159.92,30
OI000111,O00044,P0071,4,40041.05,5
OI000112,O00044,P0042,4,25217.46,25
OI000113,O00045,P0015,1,39687.47,5
OI000114,O00045,P0020,3,25125.05,10
OI000115,O00046,P0044,4,48827.82,0
OI000116,O00047,P0062,3,14290.61,0
OI000117,O00047,P0055,2,30976.25,5
OI000118,O00047,P0032,3,38394.7,15
OI000119,O00047,P0032,4,10121.02,0
OI000120,O00048,P0025,5,31538.17,5
OI000121,O00048,P0030,1,6831.72,0
OI000122,O00049,P0025,2,21458.57,10
OI000123,O00049,P0012,1,19172.54,15
OI000124,O00049,P0030,2,16974.85,30
OI000125,O00050,P0066,4,32282.69,15
OI000126,O00051,P0035,3,14207.66,20
OI000127,O00052,P0032,3,44781.54,5
OI000128,O00052,P0006,1,2843.5,20
OI000129,O00052,P0028,3,23734.89,0
OI000130,O00052,P0056,2,12800.09,30
OI000131,O00053,P0043,3,5798.55,0
OI000132,O00053,P0071,-2,18188.29,20
OI000133,O00053,P0076,5,30334.51,10
OI000134,O00054,P0027,5,19356.46,0
OI000135,O00054,P0017,5,6237.63,10
OI000136,O00054,P0025,4,46293.66,0
OI000137,O00055,P0039,4,49484.82,10
OI000138,O00055,P0069,2,2429.6,10
OI000139,O00055,P0054,5,35652.26,20
OI000140,O00056,P0058,1,45564.75,0
OI000141,O00056,P0062,4,26307.2,0
OI000142,O00056,P0022,5,13888.89,5
OI000143,O00057,P0006,5,3274.47,10
OI000144,O00057,P0051,4,34313.54,0
OI000145,O00057,P0022,4,37598.71,25
OI000146,O00058,P0052,5,13756.84,5
OI000147,O00058,P0001,2,28701.92,0
OI000148,O00058,P0066,4,25314.93,15
OI000149,O00058,P0039,2,14994.09,15
OI000150,O00059,P0022,2,2519.22,10
OI000151,O00060,P0006,2,47116.79,15
OI000152,O00060,P0018,3,43700.8,0
OI000153,O00060,P0032,2,26846.1,0
OI000154,O00061,P0078,3,16396.95,15
OI000155,O00061,P0018,4,44942.2,15
OI000156,O00061,P0042,1,31391.28,0
OI000157,O00062,P0029,3,9042.58,0
OI000158,O00062,P0069,5,5545.53,25
OI000159,O00062,P0033,5,27656.17,30
OI000160,O00063,P0042,3,10394.95,25
OI000161,O00063,P0020,4,11778.23,25
OI000162,O00064,P0019,4,4911.13,5
OI000163,O00064,P0059,2,40826.0,5
OI000164,O00064,P0025,5,24653.29,5
OI000165,O00065,P0003,-1,44291.34,25
OI000166,O00065,P0078,2,3705.34,0
OI000167,O00065,P0055,2,22887.45,25
OI000168,O00066,P0068,2,36406.54,0
OI000169,O00067,P0049,4,1280.62,0
OI000170,O00068,P0017,2,38563.35,15
OI000171,O00069,P0077,1,39671.92,0
OI000172,O00069,P0014,5,36872.54,20
OI000173,O00070,P0026,2,24151.17,30
OI000174,O00071,P0040,3,24075.69,10
OI000175,O00071,P0008,5,34679.05,0
OI000176,O00072,P0006,1,27345.94,0
OI000177,O00073,P0019,1,45630.31,0
OI000178,O00073,P0030,4,19422.81,20
OI000179,O00073,P0037,2,46104.12,25
OI000180,O00073,P0015,4,8685.56,0
OI000181,O00074,P0014,3,18026.07,20
OI000182,O00074,P0016,3,46185.15,0
OI000183,O00075,P0078,2,9108.87,20
OI000184,O00076,P0055,2,44682.6,15
OI000185,O00076,P0080,3,17582.19,0
OI000186,O00077,P0064,3,46660.87,0
OI000187,O00077,P0001,2,38944.76,5
OI000188,O00077,P0041,2,19682.33,30
OI000189,O00078,P0015,5,21515.79,15
OI000190,O00079,P0012,3,49739.89,5
OI000191,O00079,P0050,3,16135.96,25
OI000192,O00080,P0053,5,39726.7,20
OI000193,O00080,P0018,2,19313.46,30
OI000194,O00080,P0069,5,24756.92,10
OI000195,O00080,P0050,1,29152.96,25
OI000196,O00081,P0012,2,18245.04,10
OI000197,O00081,P0003,3,28029.13,5
OI000198,O00082,P0008,-2,42475.39,5
OI000199,O00083,P0059,2,41803.8,25
OI000200,O00083,P0032,2,41434.13,0
OI000201,O00083,P0018,1,48112.09,5
OI000202,O00084,P0004,4,18741.29,0
OI000203,O00084,P0075,1,23972.12,5
OI000204,O00084,P0004,2,18420.9,0
OI000205,O00084,P0032,1,870.77,25
OI000206,O00085,P0024,4,37242.01,15
OI000207,O00085,P0061,4,36197.23,30
OI000208,O00086,P0037,1,8005.39,0
OI000209,O00087,P0065,2,790.66,25
OI000210,O00087,P0059,5,35642.49,15
OI000211,O00088,P0030,4,46589.65,15
OI000212,O00088,P0012,5,19033.62,5
OI000213,O00088,P0028,4,31047.43,10
OI000214,O00089,P0024,5,30352.9,0
OI000215,O00089,P0060,4,15831.19,25
OI000216,O00089,P0049,2,2969.92,20
OI000217,O00089,P0055,2,13678.5,0
OI000218,O00090,P0047,5,38995.16,20
OI000219,O00091,P0031,3,8347.33,0
OI000220,O00092,P0028,5,796.11,15
OI000221,O00093,P0071,2,32009.85,0
OI000222,O00093,P0031,3,4480.71,0
OI000223,O00094,P0006,1,15900.37,15
OI000224,O00094,P0002,3,37646.05,25
OI000225,O00094,P0065,2,15895.0,25
OI000226,O00094,P0046,2,35207.18,0
OI000227,O00095,P0053,5,5274.89,5
OI000228,O00095,P0004,5,39854.45,30
OI000229,O00095,P0076,1,14683.44,5
OI000230,O00096,P0011,1,47652.71,10
OI000231,O00096,P0028,-3,8262.09,20
OI000232,O00096,P0058,2,17116.28,20
OI000233,O00096,P0080,4,2240.64,25
OI000234,O00097,P0027,5,30442.13,5
OI000235,O00097,P0073,4,5095.95,0
OI000236,O00098,P0040,5,43409.8,0
OI000237,O00098,P0064,1,22876.69,5
OI000238,O00099,P0021,1,14185.84,20
OI000239,O00099,P0046,1,3788.91,30
OI000240,O00099,P0034,4,48929.57,30
OI000241,O00100,P0016,5,24540.89,20
OI000242,O00100,P0037,4,20599.4,5
OI000243,O00101,P0047,5,42280.57,20
OI000244,O00101,P0048,1,34189.49,30
OI000245,O00101,P0034,1,31125.53,0
OI000246,O00101,P0032,5,645.16,0
OI000247,O00102,P0049,2,28614.15,0
OI000248,O00102,P0029,4,43739.4,0
OI000249,O00102,P0045,4,23557.31,30
OI000250,O00103,P0011,2,36655.96,25
OI000251,O00104,P0026,4,16603.85,20
OI000252,O00104,P0044,5,24443.18,30
OI000253,O00104,P0015,3,22865.29,5
OI000254,O00104,P0061,2,32100.77,20
OI000255,O00105,P0077,4,3354.41,20
OI000256,O00106,P0061,2,2940.36,0
OI000257,O00106,P0055,3,12790.55,5
OI000258,O00106,P0011,2,3695.64,25
OI000259,O00106,P0011,3,43720.35,30
OI000260,O00107,P0068,2,33564.81,15
OI000261,O00107,P0024,1,4848.95,25
OI000262,O00107,P0044,3,8435.53,20
OI000263,O00107,P0054,4,23906.1,5
OI000264,O00108,P0046,-2,41195.03,10
OI000265,O00108,P0010,5,30921.49,20
OI000266,O00108,P0041,1,7737.69,30
OI000267,O00108,P0019,4,43248.99,0
OI000268,O00109,P0034,5,36183.73,30
OI000269,O00109,P0017,4,32036.09,0
OI000270,O00109,P0005,2,37348.95,10
OI000271,O00109,P0054,5,38775.62,25
OI000272,O00110,P0045,2,47630.75,0
OI000273,O00110,P0048,3,1055.52,15
OI000274,O00111,P0064,4,20849.17,20
OI000275,O00112,P0070,4,26277.7,20
OI000276,O00112,P0015,2,23076.47,20
OI000277,O00112,P0023,5,29845.87,25
OI000278,O00113,P0037,4,31796.83,0
OI000279,O00113,P0012,1,4709.49,0
OI000280,O00113,P0079,4,5407.85,0
OI000281,O00113,P0057,5,29166.37,0
OI000282,O00114,P0054,2,11338.25,30
OI000283,O00114,P0071,4,5946.43,30
OI000284,O00114,P0016,3,48388.9,30
OI000285,O00115,P0051,1,46995.94,10
OI000286,O00115,P0065,3,13563.55,15
OI000287,O00115,P0040,4,33746.72,0
OI000288,O00115,P0054,1,1022.62,5
OI000289,O00116,P0067,5,16044.18,5
OI000290,O00116,P0074,4,12281.1,25
OI000291,O00116,P0025,5,32310.61,0
OI000292,O00117,P0017,4,48873.44,5
OI000293,O00117,P0052,3,25984.53,25
OI000294,O00117,P0030,1,35573.74,5
OI000295,O00117,P0065,1,31664.19,25
OI000296,O00118,P0071,2,47447.84,10
OI000297,O00118,P0012,-1,22011.7,5
OI000298,O00118,P0004,5,35451.9,0
OI000299,O00119,P0004,2,49174.86,20
OI000300,O00119,P0024,2,32713.01,10
OI000301,O00119,P0039,2,26887.01,10
OI000302,O00119,P0049,3,33048.07,15
OI000303,O00120,P0019,1,32009.73,0
OI000304,O00121,P0059,5,6353.55,5
OI000305,O00122,P0034,2,4865.66,30
OI000306,O00122,P0047,2,19692.31,30
OI000307,O00122,P0003,4,3910.4,0
OI000308,O00123,P0054,4,44513.25,30
OI000309,O00123,P0021,2,15113.06,5
OI000310,O00124,P0016,3,49688.54,30
OI000311,O00125,P0021,5,37149.42,0
OI000312,O00126,P0078,1,26913.72,5
OI000313,O00126,P0028,3,5960.73,10
OI000314,O00127,P0042,2,11183.12,5
OI000315,O00128,P0036,4,10162.07,0
OI000316,O00128,P0045,5,32683.25,30
OI000317,O00128,P0064,4,25754.66,25
OI000318,O00129,P0033,2,10094.35,15
OI000319,O00129,P0051,1,29286.5,15
OI000320,O00130,P0027,4,21815.22,30
OI000321,O00130,P0055,5,37417.19,20
OI000322,O00131,P0078,4,21608.32,20
OI000323,O00132,P0009,4,8570.64,0
OI000324,O00132,P0066,3,29446.74,15
OI000325,O00132,P0078,5,17774.6,0
OI000326,O00133,P0024,3,21611.99,5
OI000327,O00134,P0032,1,10955.41,20
OI000328,O00134,P0048,2,39030.85,0
OI000329,O00134,P0002,3,34492.55,20
OI000330,O00135,P0060,-2,44962.51,0
OI000331,O00135,P0050,3,30189.65,10
OI000332,O00136,P0072,3,35884.21,0
OI000333,O00137,P0056,3,40716.38,10
OI000334,O00137,P0026,1,40185.58,30
OI000335,O00137,P0006,3,21206.55,0
OI000336,O00137,P0058,2,30171.18,25
OI000337,O00138,P0074,1,14430.59,0
OI000338,O00138,P0060,3,6770.14,25
OI000339,O00139,P0069,5,2196.23,0
OI000340,O00140,P0061,1,41535.05,25
OI000341,O00141,P0036,3,37746.19,25
OI000342,O00141,P0011,5,38787.02,30
OI000343,O00141,P0079,1,19818.04,30
OI000344,O00142,P0016,3,46900.76,0
OI000345,O00142,P0004,2,2629.75,0
OI000346,O00142,P0018,1,49678.63,25
OI000347,O00142,P0029,2,4628.83,20
OI000348,O00143,P0007,3,44195.14,0
OI000349,O00144,P0007,3,3983.35,20
OI000350,O00145,P0035,2,46261.71,30
OI000351,O00145,P0016,2,16136.8,5
OI000352,O00145,P0075,4,31935.96,0
OI000353,O00145,P0067,5,12216.04,30
OI000354,O00146,P0036,3,38689.04,30
OI000355,O00146,P0029,1,13374.65,15
OI000356,O00146,P0011,3,28036.13,10
OI000357,O00146,P0027,1,3988.43,30
OI000358,O00147,P0028,1,33607.32,30
OI000359,O00148,P0025,4,5450.6,10
OI000360,O00148,P0076,5,25817.88,20
OI000361,O00148,P0040,4,32850.64,0
OI000362,O00148,P0017,2,45855.69,25
OI000363,O00149,P0080,-1,39056.05,10
OI000364,O00149,P0009,3,21298.93,15
OI000365,O00149,P0074,1,7577.66,0
OI000366,O00149,P0015,2,1075.25,30
OI000367,O00150,P0035,1,23942.96,30
OI000368,O00150,P0046,3,6136.73,0
OI000369,O00151,P0056,2,7743.35,25
OI000370,O00151,P0066,3,2894.56,15
OI000371,O00151,P0048,1,2694.44,25
OI000372,O00152,P0025,3,9675.12,5
OI000373,O00152,P0077,3,26595.75,30
OI000374,O00152,P0067,4,5681.93,0
OI000375,O00152,P0032,1,11174.09,0
OI000376,O00153,P0074,3,12128.66,0
OI000377,O00154,P0029,5,35050.74,25
OI000378,O00154,P0051,4,5289.89,15
OI000379,O00154,P0064,2,8758.7,10
OI000380,O00155,P0037,5,14576.94,0
OI000381,O00155,P0013,2,25286.2,30
OI000382,O00155,P0040,2,8719.07,0
OI000383,O00156,P0024,3,45018.49,5
OI000384,O00156,P0002,4,21539.15,0
OI000385,O00157,P0034,1,8743.57,0
OI000386,O00157,P0077,3,48484.69,0
OI000387,O00158,P0032,4,5691.95,0
OI000388,O00158,P0073,3,41809.11,5
OI000389,O00158,P0019,1,5224.63,20
OI000390,O00158,P0058,4,36807.05,15
OI000391,O00159,P0033,3,23072.85,20
OI000392,O00159,P0039,3,44595.78,30
OI000393,O00159,P0015,3,34367.76,0
OI000394,O00159,P0019,4,42849.21,5
OI000395,O00160,P0064,1,12407.3,25
OI000396,O00160,P0047,-3,4691.38,25
OI000397,O00160,P0014,3,43887.92,30
OI000398,O00161,P0034,3,44427.75,25
OI000399,O00161,P0076,4,47277.01,15
OI000400,O00162,P0025,1,29080.96,20
OI000401,O00162,P0079,1,21814.62,30
OI000402,O00162,P0073,3,14598.32,0
OI000403,O00163,P0019,4,34125.92,15
OI000404,O00163,P0080,5,33299.94,15
OI000405,O00163,P0063,3,3464.67,15
OI000406,O00163,P0002,4,2287.42,15
OI000407,O00164,P0007,4,15464.62,25
OI000408,O00165,P0001,1,12758.81,20
OI000409,O00165,P0037,5,33349.97,5
OI000410,O00165,P0012,3,7346.55,10
OI000411,O00166,P0075,1,14717.4,0
OI000412,O00166,P0061,3,12624.24,25
OI000413,O00166,P0055,4,48353.61,0
OI000414,O00166,P0034,3,29952.68,5
OI000415,O00167,P0042,5,7174.02,10
OI000416,O00167,P0033,2,20961.54,10
OI000417,O00167,P0039,3,4508.5,30
OI000418,O00167,P0070,2,18954.31,25
OI000419,O00168,P0018,5,22234.59,20
OI000420,O00169,P0060,3,21526.54,25
OI000421,O00169,P0053,4,1626.73,0
OI000422,O00169,P0054,1,37853.86,15
OI000423,O00170,P0075,5,18812.28,15
OI000424,O00170,P0007,4,6515.31,0
OI000425,O00171,P0067,4,42000.1,0
OI000426,O00171,P0008,3,41537.24,0
OI000427,O00171,P0043,5,5095.6,15
OI000428,O00171,P0073,4,34607.0,0
OI000429,O00172,P0075,-3,35918.33,10
OI000430,O00173,P0072,4,7036.04,5
OI000431,O00173,P0039,3,36027.32,0
OI000432,O00174,P0080,2,5956.77,0
OI000433,O00174,P0020,5,44024.98,0
OI000434,O00174,P0032,2,5404.45,0
OI000435,O00174,P0065,4,19688.02,0
OI000436,O00175,P0052,4,49139.14,10
OI000437,O00175,P0070,3,41128.9,30
OI000438,O00175,P0079,1,21759.6,0
OI000439,O00176,P0019,2,8746.08,10
OI000440,O00176,P0061,4,14679.3,0
OI000441,O00177,P0048,3,19711.66,0
OI000442,O00177,P0060,4,40721.31,5
OI000443,O00177,P0004,3,22989.84,25
OI000444,O00177,P0002,5,15312.39,30
OI000445,O00178,P0046,2,23528.38,30
OI000446,O00179,P0002,2,18047.95,10
OI000447,O00179,P0045,5,19683.56,0
OI000448,O00179,P0023,2,17755.38,20
OI000449,O00180,P0018,3,39301.81,15
OI000450,O00180,P0051,1,45828.96,30
OI000451,O00180,P0049,4,30390.63,5
OI000452,O00180,P0074,5,38826.05,15
OI000453,O00181,P0042,5,47770.93,20
OI000454,O00181,P0075,5,41536.84,0
OI000455,O00182,P0004,2,11777.29,0
OI000456,O00183,P0061,3,38055.49,10
OI000457,O00183,P0014,2,36476.12,25
OI000458,O00183,P0054,1,3330.85,15
OI000459,O00183,P0015,1,42378.39,0
OI000460,O00184,P0048,5,31656.88,0
OI000461,O00184,P0023,3,5606.14,30
OI000462,O00184,P0049,-3,28795.54,10
OI000463,O00184,P0026,3,24682.38,15
OI000464,O00185,P0026,2,21844.63,10
OI000465,O00185,P0012,5,1456.09,0
OI000466,O00186,P0005,2,44691.23,20
OI000467,O00186,P0053,5,27442.4,0
OI000468,O00187,P0024,5,24934.73,10
OI000469,O00187,P0074,4,25167.3,20
OI000470,O00187,P0080,5,42707.72,0
OI000471,O00188,P0055,4,43730.35,0
OI000472,O00188,P0017,5,15086.79,0
OI000473,O00188,P0064,2,2811.08,20
OI000474,O00188,P0003,2,41111.06,15
OI000475,O00189,P0050,3,3630.65,5
OI000476,O00189,P0037,1,26837.58,10
OI000477,O00189,P0067,5,25127.34,25
OI000478,O00190,P0070,1,29242.93,15
OI000479,O00191,P0005,3,21214.93,10
OI000480,O00192,P0008,2,10410.61,20
OI000481,O00192,P0008,2,24804.37,0
OI000482,O00192,P0045,1,47507.91,0
OI000483,O00193,P0017,3,36235.66,0
OI000484,O00193,P0005,4,25503.31,20
OI000485,O00193,P0056,4,15345.06,10
OI000486,O00193,P0003,1,1561.1,10
OI000487,O00194,P0003,5,24238.12,25
OI000488,O00194,P0049,2,21628.5,25
OI000489,O00194,P0071,2,6000.26,0
OI000490,O00194,P0079,3,17751.51,20
OI000491,O00195,P0008,2,11793.66,0
OI000492,O00195,P0030,4,37436.92,0
OI000493,O00195,P0002,2,40677.94,0
OI000494,O00195,P0008,2,22068.16,15
OI000495,O00196,P0041,-3,32846.65,10
OI000496,O00197,P0017,5,20041.48,0
OI000497,O00197,P0010,1,12697.39,10
OI000498,O00197,P0064,3,44907.6,10
OI000499,O00198,P0039,3,39065.37,15
OI000500,O00198,P0032,5,44675.68,20
OI000501,O00198,P0070,5,5442.81,20
OI000502,O00198,P0053,5,24438.83,0
OI000503,O00199,P0018,5,11719.16,10
OI000504,O00199,P0016,3,36314.31,5
OI000505,O00200,P0031,4,32582.93,30
OI000506,O00201,P0003,4,41857.18,15
OI000507,O00202,P0076,4,15195.54,0
OI000508,O00202,P0008,3,42765.07,25
OI000509,O00202,P0064,1,43172.95,25
OI000510,O00203,P0006,2,10485.07,5
OI000511,O00203,P0056,5,2849.92,15
OI000512,O00203,P0005,5,38209.07,0
OI000513,O00203,P0078,3,46154.26,15
OI000514,O00204,P0004,3,36357.87,25
OI000515,O00204,P0055,1,40417.99,25
OI000516,O00205,P0069,4,21335.79,15
OI000517,O00205,P0021,4,23499.79,10
OI000518,O00205,P0017,1,14214.83,15
OI000519,O00206,P0032,5,14967.29,25
OI000520,O00207,P0079,3,18244.32,15
OI000521,O00208,P0016,3,28529.94,20
OI000522,O00209,P0023,4,23270.53,30
OI000523,O00209,P0002,4,2090.94,20
OI000524,O00209,P0062,5,11087.66,0
OI000525,O00210,P0036,5,27684.53,0
OI000526,O00211,P0024,3,38357.35,15
OI000527,O00211,P0034,4,6579.32,5
OI000528,O00211,P0019,-3,2716.59,0
OI000529,O00211,P0005,2,34300.96,30
OI000530,O00212,P0006,5,35938.55,0
OI000531,O00212,P0034,3,1051.88,20
OI000532,O00212,P0070,1,30128.8,20
OI000533,O00213,P0010,5,22329.68,0
OI000534,O00214,P0027,3,28625.7,25
OI000535,O00214,P0010,4,43823.69,5
OI000536,O00215,P0042,5,39461.18,20
OI000537,O00216,P0048,4,47138.36,15
OI000538,O00216,P0080,1,8225.56,0
OI000539,O00216,P0038,2,45615.66,0
OI000540,O00216,P0014,5,10771.11,20
OI000541,O00217,P0028,4,41578.66,0
OI000542,O00217,P0020,4,38189.94,0
OI000543,O00217,P0010,2,28378.77,25
OI000544,O00218,P0068,1,30453.33,30
OI000545,O00219,P0035,2,41841.44,15
OI000546,O00219,P0032,3,12342.9,20
OI000547,O00219,P0030,4,15912.11,0
OI000548,O00220,P0057,4,18253.59,20
OI000549,O00220,P0072,5,4053.08,20
OI000550,O00221,P0078,2,22586.16,25
OI000551,O00221,P0030,5,41434.1,5
OI000552,O00221,P0069,2,38878.3,25
OI000553,O00221,P0075,2,30375.9,15
OI000554,O00222,P0041,1,4304.92,25
OI000555,O00222,P0065,2,28906.58,10
OI000556,O00222,P0024,4,1021.73,0
OI000557,O00223,P0034,5,35641.25,30
OI000558,O00223,P0013,2,43505.58,25
OI000559,O00223,P0004,2,49499.19,5
OI000560,O00223,P0066,5,45951.49,25
OI000561,O00224,P0017,-3,27957.8,15
OI000562,O00224,P0016,3,44896.96,20
OI000563,O00224,P0076,5,30927.32,0
OI000564,O00225,P0046,4,45556.04,30
OI000565,O00226,P0038,4,35080.66,5
OI000566,O00226,P0076,5,4418.53,0
OI000567,O00226,P0076,5,18651.23,30
OI000568,O00226,P0049,3,22069.71,15
OI000569,O00227,P0030,3,24791.35,0
OI000570,O00228,P0037,3,19357.37,5
OI000571,O00228,P0019,1,40745.86,10
OI000572,O00228,P0056,5,14093.25,20
OI000573,O00228,P0013,3,14418.35,0
OI000574,O00229,P0036,4,22086.11,5
OI000575,O00229,P0037,3,49443.08,0
OI000576,O00229,P0030,3,7264.91,10
OI000577,O00230,P0004,5,45151.43,10
OI000578,O00230,P0001,4,41667.1,0
OI000579,O00231,P0027,3,47104.85,25
OI000580,O00231,P0057,5,6527.39,30
OI000581,O00231,P0038,1,35883.48,0
OI000582,O00232,P0056,4,13337.06,5
OI000583,O00232,P0036,1,48429.87,0
OI000584,O00232,P0029,1,16524.01,20
OI000585,O00232,P0036,4,31623.54,0
OI000586,O00233,P0005,4,5246.83,20
OI000587,O00233,P0025,5,33141.24,0
OI000588,O00233,P0002,2,7059.51,25
OI000589,O00234,P0026,3,23638.24,30
OI000590,O00234,P0024,4,14309.33,10
OI000591,O00235,P0067,2,409.09,0
OI000592,O00236,P0072,5,10625.21,5
OI000593,O00236,P0005,4,34477.09,25
OI000594,O00236,P0075,-3,17598.01,5
OI000595,O00236,P0039,2,43783.19,30
OI000596,O00237,P0051,5,18017.11,30
OI000597,O00237,P0038,1,11141.79,15
OI000598,O00237,P0054,4,16438.5,25
OI000599,O00237,P0015,2,23370.61,20
OI000600,O00238,P0045,4,35314.74,30
OI000601,O00239,P0077,4,34439.29,0
OI000602,O00239,P0038,3,25497.5,25
OI000603,O00239,P0008,5,38646.98,15
OI000604,O00239,P0041,4,19721.08,30
OI000605,O00240,P0052,3,45640.34,15
OI000606,O00240,P0063,2,17157.12,0
OI000607,O00240,P0040,4,20638.12,5
OI000608,O00240,P0069,2,39032.71,0
OI000609,O00241,P0017,5,27103.42,0
OI000610,O00241,P0049,1,39076.57,20
OI000611,O00241,P0046,5,3407.37,0
OI000612,O00242,P0047,5,10122.38,5
OI000613,O00242,P0069,4,43021.21,10
OI000614,O00243,P0021,3,16742.23,10
OI000615,O00243,P0071,2,47015.69,0
OI000616,O00243,P0003,5,5350.41,25
OI000617,O00244,P0006,2,14333.71,0
OI000618,O00244,P0030,2,1930.46,0
OI000619,O00244,P0049,4,6776.86,15
OI000620,O00244,P0011,1,3926.04,25
OI000621,O00245,P0002,5,30342.38,5
OI000622,O00246,P0076,4,9915.63,15
OI000623,O00247,P0055,5,37238.3,15
OI000624,O00247,P0036,4,10332.67,15
OI000625,O00247,P0074,4,18984.89,25
OI000626,O00248,P0029,4,28159.56,30
OI000627,O00249,P0069,-1,19274.81,30
OI000628,O00249,P0051,3,38194.34,0
OI000629,O00249,P0058,2,28999.5,0
OI000630,O00250,P0030,4,18648.63,0
OI000631,O00250,P0040,3,7402.62,0
OI000632,O00250,P0013,5,8670.47,30
OI000633,O00250,P0076,2,4423.47,25
