file,record_id,issue,action
orders.csv,O00780,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00800,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00814,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00820,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00840,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00851,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00860,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00880,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00888,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00900,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00920,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00925,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00940,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00960,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00962,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00980,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00999,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O01000,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01020,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01036,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O01040,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01060,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01073,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O01080,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01100,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01110,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O01120,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01140,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01147,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O01160,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01180,Missing customer_id,Replaced with UNKNOWN
orders.csv,O01184,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O01200,Missing customer_id,Replaced with UNKNOWN
products.csv,P0009,Messy product_name,Trimmed spaces and applied title case
products.csv,P0010,Messy product_name,Trimmed spaces and applied title case
products.csv,P0011,Messy product_name,Trimmed spaces and applied title case
products.csv,P0013,Messy product_name,Trimmed spaces and applied title case
products.csv,P0017,Messy product_name,Trimmed spaces and applied title case
products.csv,P0022,Messy product_name,Trimmed spaces and applied title case
products.csv,P0026,Messy product_name,Trimmed spaces and applied title case
products.csv,P0033,Messy product_name,Trimmed spaces and applied title case
products.csv,P0034,Messy product_name,Trimmed spaces and applied title case
products.csv,P0039,Messy product_name,Trimmed spaces and applied title case
products.csv,P0044,Messy product_name,Trimmed spaces and applied title case
products.csv,P0051,Messy product_name,Trimmed spaces and applied title case
products.csv,P0052,Messy product_name,Trimmed spaces and applied title case
products.csv,P0055,Messy product_name,Trimmed spaces and applied title case
products.csv,P0065,Messy product_name,Trimmed spaces and applied title case
products.csv,P0066,Messy product_name,Trimmed spaces and applied title case
products.csv,P0067,Messy product_name,Trimmed spaces and applied title case
products.csv,P0068,Messy product_name,Trimmed spaces and applied title case
products.csv,P0077,Messy product_name,Trimmed spaces and applied title case
products.csv,P0078,Messy product_name,Trimmed spaces and applied title case
customers.csv,C0050,Invalid email,Reported; original value retained
customers.csv,C0100,Invalid email,Reported; original value retained
customers.csv,C0150,Invalid email,Reported; original value retained
customers.csv,C0200,Invalid email,Reported; original value retained
customers.csv,C0250,Invalid email,Reported; original value retained
customers.csv,C0300,Invalid email,Reported; original value retained
customers.csv,C0350,Invalid email,Reported; original value retained
customers.csv,C0400,Invalid email,Reported; original value retained
customers.csv,C0450,Invalid email,Reported; original value retained
customers.csv,C0500,Invalid email,Reported; original value retained
customers.csv,C0550,Invalid email,Reported; original value retained
customers.csv,C0600,Invalid email,Reported; original value retained
customers.csv,C0650,Invalid email,Reported; original value retained
