customer_id,total_value,quartile,quartile_label
C0285,291140.71,2,Gold
C0594,289451.89,2,Gold
C0279,289103.48,2,Gold
C0381,288227.83,2,Gold
C0474,287742.19,3,Silver
C0569,287569.95,3,Silver
C0466,286552.44,3,Silver
C0187,286111.55,3,Silver
C0013,285441.18,3,Silver
C0632,285031.19,3,Silver
C0504,284926.86,3,Silver
C0356,282745.22,3,Silver
C0436,281910.94,3,Silver
C0032,281888.5,3,Silver
C0416,280779.48,3,Silver
C0405,279994.89,3,Silver
C0618,277948.09,3,Silver
C0557,277055.92,3,Silver
C0098,274606.2,3,Silver
C0522,273124.98,3,Silver
C0313,272111.36,3,Silver
C0639,271953.09,3,Silver
C0534,270990.35,3,Silver
C0624,270817.78,3,Silver
C0287,268286.63,3,Silver
C0353,267938.81,3,Silver
C0158,267281.73,3,Silver
C0044,264978.89,3,Silver
C0496,264785.41,3,Silver
C0453,263715.2,3,Silver
C0420,260557.95,3,Silver
C0089,258508.26,3,Silver
C0065,258108.2,3,Silver
C0233,255387.77,3,Silver
C0558,255162.74,3,Silver
C0512,254648.49,3,Silver
C0500,253936.75,3,Silver
C0063,253267.35,3,Silver
C0188,253086.23,3,Silver
C0251,252809.37,3,Silver
C0288,252154.0,3,Silver
C0091,249888.61,3,Silver
C0630,249831.69,3,Silver
C0622,248159.63,3,Silver
C0049,246916.85,3,Silver
C0207,245793.4,3,Silver
C0066,245670.13,3,Silver
C0278,244520.09,3,Silver
C0056,241651.27,3,Silver
C0118,241532.92,3,Silver
C0352,241054.77,3,Silver
C0366,240584.6,3,Silver
C0576,240574.69,3,Silver
C0305,239609.42,3,Silver
C0644,239584.77,3,Silver
C0525,239556.83,3,Silver
C0497,239058.59,3,Silver
C0163,238824.07,3,Silver
C0094,238592.18,3,Silver
C0128,237764.45,3,Silver
C0378,237700.72,3,Silver
C0341,237508.3,3,Silver
C0410,236440.79,3,Silver
C0053,235407.07,3,Silver
C0456,234137.22,3,Silver
C0471,232933.0,3,Silver
C0382,231747.85,3,Silver
C0555,230937.85,3,Silver
C0224,228052.62,3,Silver
C0047,227956.43,3,Silver
C0343,226104.48,3,Silver
C0029,221690.21,3,Silver
C0514,221051.21,3,Silver
C0150,220794.57,3,Silver
C0007,220626.83,3,Silver
C0530,218620.34,3,Silver
C0544,218198.25,3,Silver
C0570,217528.56,3,Silver
C0231,216957.51,3,Silver
C0015,216889.95,3,Silver
C0604,215145.38,3,Silver
C0406,213699.52,3,Silver
C0170,212841.77,3,Silver
C0179,211901.29,3,Silver
C0338,211643.88,3,Silver
C0419,211130.37,3,Silver
C0479,209974.83,3,Silver
C0249,208839.57,3,Silver
C0589,207767.63,3,Silver
C0580,207398.93,3,Silver
C0016,206475.33,3,Silver
C0357,204134.69,3,Silver
C0501,203471.66,3,Silver
C0523,203366.85,3,Silver
C0164,203338.52,3,Silver
C0506,203320.33,3,Silver
C0476,202627.71,3,Silver
C0308,202099.07,3,Silver
C0216,201629.18,3,Silver
C0510,200719.34,3,Silver
C0611,198887.06,3,Silver
C0449,198512.3,3,Silver
C0464,198023.98,3,Silver
C0635,196677.36,3,Silver
C0502,196560.47,3,Silver
C0588,196220.55,3,Silver
C0201,195382.8,3,Silver
C0619,194795.91,3,Silver
C0048,194330.73,3,Silver
C0310,192715.25,3,Silver
C0126,191500.24,3,Silver
C0426,189698.05,3,Silver
C0254,187737.77,3,Silver
C0121,186390.43,3,Silver
C0575,186324.42,3,Silver
C0284,185747.1,3,Silver
C0074,184699.89,3,Silver
C0102,182207.69,3,Silver
C0303,181818.02,3,Silver
C0439,181703.49,3,Silver
C0270,181405.78,3,Silver
C0369,181142.42,3,Silver
C0602,180086.05,3,Silver
C0260,179692.44,3,Silver
C0189,179321.82,3,Silver
C0535,176508.69,3,Silver
C0606,173454.59,3,Silver
C0511,173075.34,3,Silver
C0037,172469.54,3,Silver
C0364,169088.46,3,Silver
C0598,169013.32,3,Silver
C0433,168908.76,3,Silver
C0229,167323.21,3,Silver
C0077,165646.45,3,Silver
C0421,163821.98,3,Silver
C0289,162704.28,3,Silver
C0120,159426.23,3,Silver
C0358,159299.44,3,Silver
C0390,158989.73,4,Bronze
C0413,158502.48,4,Bronze
C0637,157975.97,4,Bronze
C0633,157881.85,4,Bronze
C0073,156997.74,4,Bronze
C0363,156030.56,4,Bronze
C0068,154399.39,4,Bronze
C0395,154397.02,4,Bronze
C0035,153771.9,4,Bronze
C0517,153589.12,4,Bronze
C0571,153529.46,4,Bronze
C0105,153519.0,4,Bronze
C0033,153379.63,4,Bronze
C0223,153351.91,4,Bronze
C0264,151121.42,4,Bronze
C0560,151086.07,4,Bronze
C0333,151084.96,4,Bronze
C0643,148990.57,4,Bronze
C0396,146586.69,4,Bronze
C0325,142077.68,4,Bronze
C0337,141309.03,4,Bronze
C0444,137680.9,4,Bronze
C0599,137164.49,4,Bronze
C0460,135378.15,4,Bronze
C0281,134140.24,4,Bronze
C0437,133613.47,4,Bronze
C0432,132708.45,4,Bronze
C0531,131372.78,4,Bronze
C0540,130867.73,4,Bronze
C0274,130291.42,4,Bronze
C0498,127556.91,4,Bronze
C0055,126189.16,4,Bronze
C0386,125723.52,4,Bronze
C0113,125503.46,4,Bronze
C0330,124228.0,4,Bronze
C0267,123909.68,4,Bronze
C0184,123085.85,4,Bronze
C0411,122718.99,4,Bronze
C0577,120795.13,4,Bronze
C0354,119873.39,4,Bronze
C0083,117789.57,4,Bronze
C0248,115676.49,4,Bronze
C0388,114652.98,4,Bronze
C0391,112971.84,4,Bronze
C0650,112934.88,4,Bronze
C0423,112240.19,4,Bronze
C0545,111762.0,4,Bronze
C0578,111648.4,4,Bronze
C0127,111551.82,4,Bronze
C0160,110601.0,4,Bronze
C0018,109337.8,4,Bronze
C0087,106013.43,4,Bronze
C0563,105054.26,4,Bronze
C0375,104346.64,4,Bronze
C0294,103937.24,4,Bronze
C0041,102339.84,4,Bronze
C0326,101219.42,4,Bronze
C0268,98254.77,4,Bronze
C0484,98117.95,4,Bronze
C0086,97824.15,4,Bronze
C0250,97151.63,4,Bronze
C0409,92049.42,4,Bronze
C0533,91595.56,4,Bronze
C0112,90358.56,4,Bronze
C0097,88938.36,4,Bronze
C0617,84037.75,4,Bronze
C0152,83020.65,4,Bronze
C0332,82615.55,4,Bronze
C0283,82282.65,4,Bronze
C0314,80478.15,4,Bronze
C0317,79861.25,4,Bronze
C0418,79772.65,4,Bronze
C0645,79171.26,4,Bronze
C0076,78686.88,4,Bronze
C0295,78073.91,4,Bronze
C0226,77461.83,4,Bronze
C0566,76732.37,4,Bronze
C0205,76628.69,4,Bronze
C0331,76518.42,4,Bronze
C0359,73655.17,4,Bronze
C0108,72794.81,4,Bronze
C0543,72350.27,4,Bronze
C0203,71777.95,4,Bronze
C0252,71708.25,4,Bronze
C0075,69146.62,4,Bronze
C0014,68912.2,4,Bronze
C0629,68887.89,4,Bronze
C0178,67945.47,4,Bronze
C0235,64935.52,4,Bronze
C0339,61371.52,4,Bronze
C0507,61169.98,4,Bronze
C0227,59780.27,4,Bronze
C0028,58841.72,4,Bronze
C0448,57280.31,4,Bronze
C0057,57261.96,4,Bronze
C0489,52569.81,4,Bronze
C0202,50374.4,4,Bronze
C0219,50022.76,4,Bronze
C0004,47332.29,4,Bronze
C0017,46584.42,4,Bronze
C0379,46447.71,4,Bronze
C0402,46210.45,4,Bronze
C0200,44904.68,4,Bronze
C0145,44860.7,4,Bronze
C0516,43368.45,4,Bronze
C0151,41742.51,4,Bronze
C0623,41662.0,4,Bronze
C0139,41157.46,4,Bronze
C0492,41064.63,4,Bronze
C0064,39083.26,4,Bronze
C0071,38702.71,4,Bronze
C0443,38192.15,4,Bronze
C0646,37672.87,4,Bronze
C0194,35276.09,4,Bronze
C0565,34978.59,4,Bronze
C0271,34460.61,4,Bronze
C0081,29512.84,4,Bronze
C0107,29024.18,4,Bronze
C0030,28824.46,4,Bronze
C0243,28479.07,4,Bronze
C0595,27345.94,4,Bronze
C0239,16811.59,4,Bronze
C0198,15131.33,4,Bronze
C0027,13741.83,4,Bronze
C0130,12671.83,4,Bronze
C0012,10981.15,4,Bronze
C0608,10918.98,4,Bronze
C0070,10353.82,4,Bronze
C0556,8165.66,4,Bronze
C0370,818.18,4,Bronze
C0129,-23584.41,4,Bronze
C0297,-26790.8,4,Bronze
C0183,-36354.85,4,Bronze
