customer_id,current_order_id,current_order_date,current_order_value,previous_order_id,previous_order_date,previous_order_value,value_change
C0089,O00783,2025-05-23,258508.26,,,,258508.26
C0090,O00619,2025-02-15,46383.92,,,,46383.92
C0090,O00098,2026-04-06,238781.86,O00619,2025-02-15,46383.92,192397.94
C0090,O00777,2026-07-06,122997.66,O00098,2026-04-06,238781.86,-115784.2
C0091,O00262,2025-06-12,145338.53,,,,145338.53
C0091,O00196,2025-09-01,-88685.96,O00262,2025-06-12,145338.53,-234024.48
C0091,O01007,2026-03-30,193236.04,O00196,2025-09-01,-88685.96,281921.99
C0092,O01015,2025-05-28,120429.36,,,,120429.36
C0092,O01005,2025-06-02,201204.28,O01015,2025-05-28,120429.36,80774.91
C0092,O00254,2025-07-07,237689.61,O01005,2025-06-02,201204.28,36485.34
C0092,O00892,2026-03-16,95655.31,O00254,2025-07-07,237689.61,-142034.3
C0092,O00466,2026-05-09,166151.54,O00892,2026-03-16,95655.31,70496.23
C0092,O00053,2026-06-09,124799.68,O00466,2026-05-09,166151.54,-41351.86
C0093,O00419,2025-01-16,196079.85,,,,196079.85
C0093,O00868,2025-03-07,135978.12,O00419,2025-01-16,196079.85,-60101.73
C0093,O00870,2026-06-22,375132.83,O00868,2025-03-07,135978.12,239154.71
C0094,O00411,2025-06-14,44680.96,,,,44680.96
C0094,O01122,2026-04-19,113790.19,O00411,2025-06-14,44680.96,69109.23
C0094,O00302,2026-07-25,80121.04,O01122,2026-04-19,113790.19,-33669.15
C0095,O00852,2026-02-16,149517.91,,,,149517.91
C0095,O00337,2026-03-02,155779.25,O00852,2026-02-16,149517.91,6261.34
C0096,O00108,2025-12-02,227947.25,,,,227947.25
C0096,O00982,2026-06-17,239288.23,O00108,2025-12-02,227947.25,11340.98
C0097,O00168,2026-07-24,88938.36,,,,88938.36
C0098,O00116,2025-08-28,274606.2,,,,274606.2
C0099,O00832,2025-06-06,111481.91,,,,111481.91
C0099,O00344,2025-07-17,187117.15,O00832,2025-06-06,111481.91,75635.24
C0101,O00229,2025-11-15,251871.71,,,,251871.71
C0101,O00045,2026-05-28,105540.73,O00229,2025-11-15,251871.71,-146330.98
C0102,O01014,2026-01-27,182207.69,,,,182207.69
C0103,O00442,2025-05-15,256462.44,,,,256462.44
C0103,O00882,2025-12-07,92721.3,O00442,2025-05-15,256462.44,-163741.14
C0104,O00002,2025-01-17,135632.22,,,,135632.22
C0104,O00224,2025-04-13,191096.91,O00002,2025-01-17,135632.22,55464.69
C0104,O01079,2025-06-30,247750.54,O00224,2025-04-13,191096.91,56653.62
C0104,O01022,2025-10-03,157690.99,O01079,2025-06-30,247750.54,-90059.55
C0104,O00282,2026-06-08,32523.14,O01022,2025-10-03,157690.99,-125167.85
C0105,O00965,2025-04-19,153519.0,,,,153519.0
C0106,O00144,2025-06-20,9560.04,,,,9560.04
C0106,O00301,2026-05-25,278338.54,O00144,2025-06-20,9560.04,268778.5
C0106,O01137,2026-06-20,218402.94,O00301,2026-05-25,278338.54,-59935.6
C0107,O00459,2026-02-11,29024.18,,,,29024.18
C0108,O00276,2025-05-21,72794.81,,,,72794.81
C0109,O00277,2025-05-01,33619.47,,,,33619.47
C0109,O00917,2026-02-08,59834.04,O00277,2025-05-01,33619.47,26214.57
C0109,O00307,2026-07-15,358498.75,O00917,2026-02-08,59834.04,298664.71
C0109,O00511,2026-07-26,20099.79,O00307,2026-07-15,358498.75,-338398.96
C0110,O00503,2025-07-02,254734.24,,,,254734.24
C0110,O00636,2026-06-05,121929.63,O00503,2025-07-02,254734.24,-132804.61
C0111,O00829,2025-10-13,210596.36,,,,210596.36
C0111,O01053,2025-12-09,89014.42,O00829,2025-10-13,210596.36,-121581.93
C0112,O00690,2026-02-07,90358.56,,,,90358.56
C0113,O00997,2025-05-02,125503.46,,,,125503.46
C0115,O00757,2025-03-20,229752.33,,,,229752.33
C0115,O00943,2025-05-09,315793.55,O00757,2025-03-20,229752.33,86041.21
C0117,O00709,2025-03-07,279970.94,,,,279970.94
C0117,O00751,2025-05-22,130220.78,O00709,2025-03-07,279970.94,-149750.16
C0117,O00386,2025-08-24,323290.98,O00751,2025-05-22,130220.78,193070.2
C0117,O00095,2026-07-17,178495.57,O00386,2025-08-24,323290.98,-144795.41
C0118,O00077,2025-11-23,241532.92,,,,241532.92
C0120,O00803,2026-03-04,159426.23,,,,159426.23
C0121,O00086,2025-03-28,8005.39,,,,8005.39
C0121,O00998,2025-10-24,20479.82,O00086,2025-03-28,8005.39,12474.43
C0121,O00966,2026-06-04,157905.23,O00998,2025-10-24,20479.82,137425.41
C0123,O00331,2025-07-11,292823.93,,,,292823.93
C0124,O00118,2025-01-09,241754.5,,,,241754.5
C0124,O01143,2025-08-01,89881.58,O00118,2025-01-09,241754.5,-151872.92
C0124,O01018,2025-09-22,198942.67,O01143,2025-08-01,89881.58,109061.09
C0125,O01047,2026-03-19,292440.26,,,,292440.26
C0126,O00754,2026-04-09,191500.24,,,,191500.24
C0127,O00357,2026-07-21,111551.82,,,,111551.82
C0128,O01171,2025-03-14,27738.11,,,,27738.11
C0128,O01151,2025-08-27,116161.45,O01171,2025-03-14,27738.11,88423.34
C0128,O00986,2025-12-29,93864.89,O01151,2025-08-27,116161.45,-22296.56
C0129,O00653,2026-03-04,-23584.41,,,,-23584.41
C0130,O00668,2025-01-28,12671.83,,,,12671.83
C0132,O00253,2025-07-05,243759.28,,,,243759.28
C0132,O01043,2026-08-02,191641.23,O00253,2025-07-05,243759.28,-52118.05
C0134,O00991,2025-04-05,162230.81,,,,162230.81
C0134,O00895,2025-10-22,42581.47,O00991,2025-04-05,162230.81,-119649.35
C0134,O00707,2026-04-28,115828.48,O00895,2025-10-22,42581.47,73247.01
C0135,O00270,2025-01-20,148981.9,,,,148981.9
C0135,O00561,2025-06-05,57093.96,O00270,2025-01-20,148981.9,-91887.94
C0135,O00583,2025-10-23,146585.32,O00561,2025-06-05,57093.96,89491.36
C0136,O00394,2025-03-12,272762.55,,,,272762.55
C0136,O00617,2025-04-11,277764.36,O00394,2025-03-12,272762.55,5001.81
C0136,O00531,2025-10-24,209715.27,O00617,2025-04-11,277764.36,-68049.09
C0137,O01148,2025-11-29,315320.18,,,,315320.18
C0138,O00388,2025-05-11,112404.01,,,,112404.01
C0138,O00012,2026-02-27,223783.38,O00388,2025-05-11,112404.01,111379.37
C0138,O01154,2026-03-31,204259.31,O00012,2026-02-27,223783.38,-19524.08
C0138,O00593,2026-07-18,90072.16,O01154,2026-03-31,204259.31,-114187.15
C0139,O00794,2025-03-01,41157.46,,,,41157.46
C0140,O00819,2025-05-07,218975.1,,,,218975.1
C0140,O00474,2025-07-12,104385.95,O00819,2025-05-07,218975.1,-114589.15
C0140,O01131,2025-09-14,175439.5,O00474,2025-07-12,104385.95,71053.54
C0140,O00606,2026-05-01,177433.56,O01131,2025-09-14,175439.5,1994.07
C0141,O01152,2025-09-07,147753.1,,,,147753.1
C0141,O00799,2025-12-27,242901.78,O01152,2025-09-07,147753.1,95148.68
C0141,O00786,2026-04-19,1043.36,O00799,2025-12-27,242901.78,-241858.42
C0142,O00744,2025-01-25,281702.57,,,,281702.57
C0142,O00316,2025-10-29,338218.72,O00744,2025-01-25,281702.57,56516.16
C0142,O00408,2025-12-19,20945.9,O00316,2025-10-29,338218.72,-317272.82
C0142,O00556,2026-07-09,189325.19,O00408,2025-12-19,20945.9,168379.29
C0144,O00369,2025-03-25,1925.02,,,,1925.02
C0144,O01029,2025-04-02,84240.19,O00369,2025-03-25,1925.02,82315.17
C0144,O00044,2025-12-06,248147.2,O01029,2025-04-02,84240.19,163907.01
C0145,O00706,2025-08-27,44860.7,,,,44860.7
C0146,O00189,2025-03-02,128728.7,,,,128728.7
C0146,O00806,2025-08-16,493809.15,O00189,2025-03-02,128728.7,365080.45
C0146,O01017,2025-11-02,18319.36,O00806,2025-08-16,493809.15,-475489.79
C0147,O00999,2025-11-07,221532.0,,,,221532.0
C0147,O00006,2025-11-25,124901.58,O00999,2025-11-07,221532.0,-96630.42
C0148,O00226,2025-02-08,276956.22,,,,276956.22
C0148,O01082,2026-03-21,111241.69,O00226,2025-02-08,276956.22,-165714.53
C0149,O00944,2025-01-28,177157.43,,,,177157.43
C0149,O00557,2025-05-19,378903.88,O00944,2025-01-28,177157.43,201746.45
C0150,O00559,2025-07-08,205510.51,,,,205510.51
C0150,O01066,2025-11-15,15284.06,O00559,2025-07-08,205510.51,-190226.45
C0151,O00772,2026-05-01,41742.51,,,,41742.51
C0152,O01175,2025-01-29,8036.47,,,,8036.47
C0152,O00912,2025-04-26,74984.18,O01175,2025-01-29,8036.47,66947.7
C0153,O00644,2025-01-01,412673.49,,,,412673.49
C0153,O00722,2025-02-24,293055.45,O00644,2025-01-01,412673.49,-119618.04
C0154,O00863,2025-08-30,184915.0,,,,184915.0
C0154,O00581,2026-08-03,299341.42,O00863,2025-08-30,184915.0,114426.42
C0155,O00976,2025-02-07,148031.09,,,,148031.09
C0155,O00908,2025-06-18,58259.98,O00976,2025-02-07,148031.09,-89771.11
C0155,O00258,2026-06-27,184785.1,O00908,2025-06-18,58259.98,126525.12
C0156,O00552,2025-01-31,219031.45,,,,219031.45
C0156,O00971,2026-01-05,208497.52,O00552,2025-01-31,219031.45,-10533.93
C0157,O00946,2025-01-23,170202.33,,,,170202.33
C0157,O00554,2025-08-21,250277.46,O00946,2025-01-23,170202.33,80075.13
C0157,O00529,2025-12-01,170984.62,O00554,2025-08-21,250277.46,-79292.83
C0158,O00766,2025-07-06,68017.52,,,,68017.52
C0158,O00924,2025-10-19,89503.07,O00766,2025-07-06,68017.52,21485.56
C0158,O00050,2026-01-25,109761.15,O00924,2025-10-19,89503.07,20258.07
C0159,O00333,2025-01-06,315217.88,,,,315217.88
C0159,O00404,2025-11-20,12808.24,O00333,2025-01-06,315217.88,-302409.64
C0160,O01164,2026-06-02,110601.0,,,,110601.0
C0161,O00996,2025-08-06,53692.04,,,,53692.04
C0161,O00839,2026-04-27,99111.45,O00996,2025-08-06,53692.04,45419.41
C0161,O00958,2026-05-10,162203.93,O00839,2026-04-27,99111.45,63092.48
C0162,O00886,2025-11-18,26121.56,,,,26121.56
C0162,O00417,2026-01-04,509949.23,O00886,2025-11-18,26121.56,483827.67
C0163,O00232,2026-01-18,238824.07,,,,238824.07
C0164,O00983,2026-06-18,203338.52,,,,203338.52
C0165,O00862,2025-10-01,82441.68,,,,82441.68
C0165,O00332,2025-10-13,166922.64,O00862,2025-10-01,82441.68,84480.96
C0165,O00765,2026-04-12,224516.03,O00332,2025-10-13,166922.64,57593.39
C0166,O00743,2025-01-17,265871.42,,,,265871.42
C0166,O01133,2025-05-24,406326.09,O00743,2025-01-17,265871.42,140454.66
C0166,O00409,2025-08-24,8633.53,O01133,2025-05-24,406326.09,-397692.56
C0167,O00923,2025-04-02,21135.03,,,,21135.03
C0167,O00239,2025-10-19,414595.22,O00923,2025-04-02,21135.03,393460.19
C0167,O00994,2026-05-17,79202.11,O00239,2025-10-19,414595.22,-335393.11
C0168,O00577,2026-04-11,141746.52,,,,141746.52
C0168,O00446,2026-08-05,294720.95,O00577,2026-04-11,141746.52,152974.43
C0169,O00975,2025-12-13,224298.68,,,,224298.68
C0169,O00204,2026-05-10,112118.7,O00975,2025-12-13,224298.68,-112179.98
C0170,O00115,2025-09-14,212841.77,,,,212841.77
C0172,O01163,2025-03-23,136475.44,,,,136475.44
C0172,O01141,2025-08-14,98379.58,O01163,2025-03-23,136475.44,-38095.86
C0172,O00452,2026-04-20,109899.26,O01141,2025-08-14,98379.58,11519.69
C0173,O00891,2025-04-02,-56359.62,,,,-56359.62
C0173,O00913,2025-07-28,413033.88,O00891,2025-04-02,-56359.62,469393.5
C0173,O00825,2026-02-15,173444.41,O00913,2025-07-28,413033.88,-239589.47
C0174,O00055,2026-07-27,325127.67,,,,325127.67
C0175,O00202,2025-09-25,189383.28,,,,189383.28
C0175,O00252,2026-01-03,351033.93,O00202,2025-09-25,189383.28,161650.65
C0178,O01159,2025-05-25,46628.14,,,,46628.14
C0178,O00218,2025-05-31,21317.33,O01159,2025-05-25,46628.14,-25310.81
C0179,O00436,2025-02-03,211901.29,,,,211901.29
C0180,O00414,2025-10-21,210410.66,,,,210410.66
C0180,O00872,2026-03-10,303972.76,O00414,2025-10-21,210410.66,93562.1
C0180,O01166,2026-07-05,251392.61,O00872,2026-03-10,303972.76,-52580.15
C0182,O00188,2025-07-26,324741.88,,,,324741.88
C0182,O00313,2026-05-10,99971.17,O00188,2025-07-26,324741.88,-224770.71
C0183,O00348,2025-02-08,-111390.14,,,,-111390.14
C0183,O00922,2026-01-26,75035.29,O00348,2025-02-08,-111390.14,186425.43
C0184,O00831,2025-03-11,94841.01,,,,94841.01
C0184,O00149,2026-05-30,28244.84,O00831,2025-03-11,94841.01,-66596.18
C0185,O00389,2025-05-31,283266.77,,,,283266.77
C0185,O00681,2025-07-19,482165.41,O00389,2025-05-31,283266.77,198898.64
C0186,O01016,2025-06-23,172544.27,,,,172544.27
C0186,O00817,2025-07-09,307793.43,O01016,2025-06-23,172544.27,135249.15
C0187,O00392,2025-05-27,286111.55,,,,286111.55
C0188,O00287,2025-04-06,117494.16,,,,117494.16
C0188,O01186,2025-07-10,135592.07,O00287,2025-04-06,117494.16,18097.91
C0189,O00564,2026-04-26,151628.1,,,,151628.1
C0189,O00456,2026-06-18,27693.71,O00564,2026-04-26,151628.1,-123934.39
C0190,O00811,2025-07-30,296976.0,,,,296976.0
C0191,O00088,2025-05-22,360585.25,,,,360585.25
C0191,O00476,2025-06-05,136224.81,O00088,2025-05-22,360585.25,-224360.45
C0191,O00928,2026-03-09,357973.52,O00476,2025-06-05,136224.81,221748.71
C0191,O01184,2026-03-18,-22162.02,O00928,2026-03-09,357973.52,-380135.53
C0191,O01064,2026-05-08,100059.9,O01184,2026-03-18,-22162.02,122221.92
C0192,O00174,2025-06-26,321599.42,,,,321599.42
C0192,O00938,2025-09-29,240265.89,O00174,2025-06-26,321599.42,-81333.54
C0193,O00801,2025-08-12,69622.58,,,,69622.58
C0193,O01105,2025-12-15,216114.31,O00801,2025-08-12,69622.58,146491.73
C0193,O00269,2025-12-17,231304.05,O01105,2025-12-15,216114.31,15189.74
C0194,O00896,2025-08-09,35276.09,,,,35276.09
C0198,O01037,2025-05-08,15131.33,,,,15131.33
C0199,O01042,2026-05-28,293999.93,,,,293999.93
C0200,O01130,2026-01-26,44904.68,,,,44904.68
C0201,O01168,2025-12-08,7350.1,,,,7350.1
C0201,O00645,2026-02-04,47796.69,O01168,2025-12-08,7350.1,40446.6
C0201,O00443,2026-07-23,140236.01,O00645,2026-02-04,47796.69,92439.31
C0202,O01051,2026-03-10,50374.4,,,,50374.4
C0203,O00629,2025-12-31,71777.95,,,,71777.95
C0205,O01139,2025-09-13,76628.69,,,,76628.69
C0206,O00061,2025-05-20,226006.98,,,,226006.98
C0206,O00234,2025-06-27,101153.89,O00061,2025-05-20,226006.98,-124853.09
C0207,O01162,2025-11-07,86387.4,,,,86387.4
C0207,O01069,2025-12-19,33776.36,O01162,2025-11-07,86387.4,-52611.04
C0207,O00614,2026-01-19,125629.64,O01069,2025-12-19,33776.36,91853.28
C0208,O00566,2025-10-04,143693.38,,,,143693.38
C0208,O00113,2026-03-28,299360.06,O00566,2025-10-04,143693.38,155666.68
C0209,O00324,2025-03-05,252796.12,,,,252796.12
C0209,O00135,2025-03-27,-8412.96,O00324,2025-03-05,252796.12,-261209.09
C0209,O00406,2025-10-10,3700.9,O00135,2025-03-27,-8412.96,12113.86
C0209,O00894,2026-05-22,87624.92,O00406,2025-10-10,3700.9,83924.02
C0211,O00205,2025-06-10,169223.54,,,,169223.54
C0211,O00274,2025-09-16,8871.44,O00205,2025-06-10,169223.54,-160352.09
C0211,O01074,2025-12-06,192029.68,O00274,2025-09-16,8871.44,183158.24
C0211,O01118,2026-02-03,170310.38,O01074,2025-12-06,192029.68,-21719.3
C0212,O00555,2025-12-04,223227.52,,,,223227.52
C0212,O00378,2026-01-14,68775.5,O00555,2025-12-04,223227.52,-154452.02
C0212,O00209,2026-05-07,127286.79,O00378,2026-01-14,68775.5,58511.29
C0215,O00261,2025-03-01,91978.88,,,,91978.88
C0215,O00594,2025-12-04,69539.44,O00261,2025-03-01,91978.88,-22439.44
C0215,O00959,2026-03-02,282134.39,O00594,2025-12-04,69539.44,212594.95
C0216,O00345,2026-07-01,201629.18,,,,201629.18
C0219,O00122,2025-06-18,50022.76,,,,50022.76
C0223,O00123,2026-02-26,153351.91,,,,153351.91
C0224,O00338,2025-12-06,183668.02,,,,183668.02
C0224,O01146,2026-01-13,44384.59,O00338,2025-12-06,183668.02,-139283.43
C0226,O00093,2026-08-02,77461.83,,,,77461.83
C0227,O00366,2025-01-05,59780.27,,,,59780.27
C0228,O00169,2025-05-05,87117.42,,,,87117.42
C0228,O00251,2025-07-14,325056.16,O00169,2025-05-05,87117.42,237938.75
C0228,O00412,2026-03-22,187197.69,O00251,2025-07-14,325056.16,-137858.47
C0229,O00382,2026-06-14,167323.21,,,,167323.21
C0230,O00242,2025-06-27,202957.66,,,,202957.66
C0230,O00788,2026-05-21,174058.93,O00242,2025-06-27,202957.66,-28898.73
C0231,O00752,2025-08-03,216957.51,,,,216957.51
C0232,O00035,2026-04-16,290229.27,,,,290229.27
C0232,O00565,2026-05-01,46690.2,O00035,2026-04-16,290229.27,-243539.07
C0233,O01103,2025-06-02,255387.77,,,,255387.77
C0235,O00399,2025-02-14,64935.52,,,,64935.52
C0236,O00909,2025-02-24,43322.08,,,,43322.08
C0236,O00023,2025-10-30,127828.92,O00909,2025-02-24,43322.08,84506.84
C0236,O00426,2026-01-27,444384.93,O00023,2025-10-30,127828.92,316556.01
C0237,O00509,2025-08-10,142688.64,,,,142688.64
C0237,O00562,2025-10-01,211063.03,O00509,2025-08-10,142688.64,68374.39
C0239,O01150,2026-01-27,16811.59,,,,16811.59
C0240,O01039,2025-11-07,263546.23,,,,263546.23
