region_code,order_date,daily_revenue,running_total
CENTRAL,2026-01-28,319196.46,27685182.25
CENTRAL,2026-01-29,462881.19,28148063.44
CENTRAL,2026-01-31,310107.76,28458171.2
CENTRAL,2026-02-01,78560.94,28536732.14
CENTRAL,2026-02-09,17458.71,28554190.85
CENTRAL,2026-02-12,144720.07,28698910.93
CENTRAL,2026-02-14,262921.44,28961832.37
CENTRAL,2026-02-16,309737.64,29271570.01
CENTRAL,2026-02-18,92478.5,29364048.51
CENTRAL,2026-02-19,66745.09,29430793.6
CENTRAL,2026-02-20,142106.31,29572899.91
CENTRAL,2026-03-05,133784.23,29706684.14
CENTRAL,2026-03-08,-26790.8,29679893.34
CENTRAL,2026-03-10,492199.98,30172093.32
CENTRAL,2026-03-16,304447.16,30476540.48
CENTRAL,2026-03-19,362328.25,30838868.73
CENTRAL,2026-03-22,187197.69,31026066.42
CENTRAL,2026-03-25,38685.31,31064751.73
CENTRAL,2026-03-27,215145.38,31279897.11
CENTRAL,2026-04-01,161550.99,31441448.1
CENTRAL,2026-04-02,247577.96,31689026.06
CENTRAL,2026-04-09,191500.24,31880526.3
CENTRAL,2026-04-11,98254.77,31978781.07
CENTRAL,2026-04-15,231114.86,32209895.92
CENTRAL,2026-04-17,400637.23,32610533.15
CENTRAL,2026-04-18,141664.91,32752198.06
CENTRAL,2026-04-28,271736.31,33023934.37
CENTRAL,2026-04-29,104346.64,33128281.01
CENTRAL,2026-04-30,132708.45,33260989.46
CENTRAL,2026-05-02,84052.01,33345041.47
CENTRAL,2026-05-03,361642.56,33706684.03
CENTRAL,2026-05-04,139714.13,33846398.15
CENTRAL,2026-05-09,210275.52,34056673.68
CENTRAL,2026-05-12,233335.18,34290008.85
CENTRAL,2026-05-14,213486.65,34503495.51
CENTRAL,2026-05-15,168497.87,34671993.38
CENTRAL,2026-05-18,356535.25,35028528.62
CENTRAL,2026-05-20,289750.35,35318278.97
CENTRAL,2026-05-26,159457.04,35477736.01
CENTRAL,2026-05-27,34514.55,35512250.56
CENTRAL,2026-05-28,293999.93,35806250.49
CENTRAL,2026-05-30,-16640.9,35789609.59
CENTRAL,2026-05-31,351084.57,36140694.17
CENTRAL,2026-06-03,59171.15,36199865.32
CENTRAL,2026-06-04,290630.47,36490495.79
CENTRAL,2026-06-05,97431.23,36587927.02
CENTRAL,2026-06-18,203338.52,36791265.54
CENTRAL,2026-06-20,490594.73,37281860.26
CENTRAL,2026-06-23,61169.98,37343030.25
CENTRAL,2026-06-25,135233.55,37478263.8
CENTRAL,2026-06-27,177182.13,37655445.93
CENTRAL,2026-06-29,128882.36,37784328.29
CENTRAL,2026-07-01,456386.31,38240714.6
CENTRAL,2026-07-03,249437.35,38490151.96
CENTRAL,2026-07-06,169088.46,38659240.42
CENTRAL,2026-07-07,338015.39,38997255.81
CENTRAL,2026-07-09,189325.19,39186581.0
CENTRAL,2026-07-14,91232.2,39277813.2
CENTRAL,2026-07-17,178495.57,39456308.77
CENTRAL,2026-07-21,111551.82,39567860.59
CENTRAL,2026-07-22,236440.79,39804301.39
CENTRAL,2026-07-25,80121.04,39884422.42
CENTRAL,2026-07-26,20099.79,39904522.22
CENTRAL,2026-08-02,196948.2,40101470.42
CENTRAL,2026-08-03,178590.58,40280061.0
CENTRAL,2026-08-04,105054.26,40385115.26
EAST,2025-01-01,698952.33,698952.33
EAST,2025-01-03,223892.92,922845.26
EAST,2025-01-05,211511.47,1134356.72
EAST,2025-01-06,549166.76,1683523.48
EAST,2025-01-09,83579.4,1767102.88
EAST,2025-01-10,229169.99,1996272.87
EAST,2025-01-13,211361.39,2207634.26
EAST,2025-01-21,97824.15,2305458.41
EAST,2025-01-26,71195.25,2376653.66
EAST,2025-01-28,12671.83,2389325.5
EAST,2025-01-30,41064.63,2430390.12
EAST,2025-01-31,430744.15,2861134.27
EAST,2025-02-01,247320.05,3108454.32
EAST,2025-02-02,156125.45,3264579.77
EAST,2025-02-03,818.18,3265397.95
EAST,2025-02-14,47495.69,3312893.64
EAST,2025-02-17,35170.26,3348063.9
EAST,2025-02-20,51189.08,3399252.98
EAST,2025-02-22,784407.84,4183660.82
EAST,2025-03-02,135924.47,4319585.28
EAST,2025-03-03,176602.04,4496187.33
EAST,2025-03-05,90914.5,4587101.83
EAST,2025-03-11,94841.01,4681942.84
EAST,2025-03-13,481789.69,5163732.54
EAST,2025-03-14,52811.52,5216544.05
EAST,2025-03-15,277350.76,5493894.82
EAST,2025-03-21,26553.68,5520448.5
EAST,2025-03-23,138458.39,5658906.89
EAST,2025-03-24,213670.01,5872576.9
EAST,2025-04-02,84240.19,5956817.08
EAST,2025-04-03,118337.1,6075154.19
EAST,2025-04-07,182220.61,6257374.79
EAST,2025-04-08,54983.94,6312358.73
EAST,2025-04-13,311357.36,6623716.09
EAST,2025-04-16,19931.19,6643647.28
EAST,2025-04-22,267938.81,6911586.09
EAST,2025-04-24,343765.14,7255351.23
EAST,2025-04-26,4473.76,7259824.99
EAST,2025-04-27,227975.08,7487800.07
EAST,2025-05-03,10981.15,7498781.22
EAST,2025-05-04,261322.95,7760104.17
EAST,2025-05-07,218975.1,7979079.27
EAST,2025-05-10,255210.76,8234290.03
EAST,2025-05-12,375301.75,8609591.78
EAST,2025-05-13,168823.98,8778415.76
EAST,2025-05-15,250748.8,9029164.56
EAST,2025-05-20,63988.58,9093153.14
EAST,2025-05-23,258508.26,9351661.4
EAST,2025-05-24,159089.65,9510751.05
EAST,2025-05-28,238253.81,9749004.86
EAST,2025-05-29,72014.43,9821019.29
EAST,2025-06-02,285031.19,10106050.49
EAST,2025-06-04,165191.56,10271242.05
EAST,2025-06-05,136224.81,10407466.86
EAST,2025-06-07,98117.95,10505584.8
EAST,2025-06-11,188455.09,10694039.89
EAST,2025-06-16,385342.76,11079382.65
EAST,2025-06-18,274165.01,11353547.66
EAST,2025-06-21,119873.39,11473421.05
EAST,2025-06-24,280775.83,11754196.88
EAST,2025-06-27,434324.6,12188521.48
EAST,2025-06-29,217528.56,12406050.04
EAST,2025-07-02,76518.42,12482568.46
EAST,2025-07-07,61371.52,12543939.98
EAST,2025-07-08,205510.51,12749450.49
EAST,2025-07-12,163851.4,12913301.89
EAST,2025-07-13,175460.28,13088762.17
EAST,2025-07-17,36459.91,13125222.08
EAST,2025-07-24,179648.55,13304870.63
EAST,2025-07-25,211643.88,13516514.51
EAST,2025-07-26,428190.15,13944704.66
EAST,2025-07-27,145416.09,14090120.75
EAST,2025-07-28,413033.88,14503154.63
EAST,2025-07-29,39037.6,14542192.23
EAST,2025-08-03,405800.54,14947992.78
EAST,2025-08-06,53692.04,15001684.82
EAST,2025-08-11,653071.79,15654756.62
EAST,2025-08-13,147025.31,15801781.92
EAST,2025-08-16,493809.15,16295591.07
EAST,2025-08-18,166784.13,16462375.2
EAST,2025-08-19,142314.41,16604689.61
EAST,2025-08-21,483164.02,17087853.63
EAST,2025-08-30,320939.9,17408793.53
EAST,2025-09-01,-88685.96,17320107.58
EAST,2025-09-03,79861.25,17399968.83
EAST,2025-09-04,322285.81,17722254.64
EAST,2025-09-07,147753.1,17870007.74
EAST,2025-09-14,212841.77,18082849.5
EAST,2025-09-23,235753.07,18318602.58
EAST,2025-09-25,226882.2,18545484.78
EAST,2025-09-27,145047.46,18690532.25
EAST,2025-09-30,146250.24,18836782.49
EAST,2025-10-01,308686.19,19145468.67
EAST,2025-10-07,26888.5,19172357.18
EAST,2025-10-11,122979.69,19295336.86
EAST,2025-10-12,2442.5,19297779.36
EAST,2025-10-13,166922.64,19464702.0
EAST,2025-10-17,33713.14,19498415.14
EAST,2025-10-19,219569.32,19717984.46
EAST,2025-10-24,51831.97,19769816.43
EAST,2025-10-25,385385.21,20155201.64
EAST,2025-10-29,22753.85,20177955.49
EAST,2025-11-02,18319.36,20196274.85
EAST,2025-11-06,134140.24,20330415.09
EAST,2025-11-07,263546.23,20593961.33
EAST,2025-11-08,184297.66,20778258.99
EAST,2025-11-15,15284.06,20793543.05
EAST,2025-11-16,286075.69,21079618.74
EAST,2025-11-19,260704.27,21340323.01
EAST,2025-11-23,654327.91,21994650.92
EAST,2025-11-29,315320.18,22309971.1
EAST,2025-12-02,21016.98,22330988.08
EAST,2025-12-07,92721.3,22423709.38
EAST,2025-12-09,89014.42,22512723.8
EAST,2025-12-14,13741.83,22526465.63
EAST,2025-12-15,558207.38,23084673.01
EAST,2025-12-19,331705.08,23416378.09
EAST,2025-12-24,149834.98,23566213.07
EAST,2025-12-27,242901.78,23809114.84
EAST,2025-12-29,175030.1,23984144.95
EAST,2026-01-04,517058.69,24501203.64
EAST,2026-01-05,156038.78,24657242.42
EAST,2026-01-09,24856.49,24682098.91
EAST,2026-01-10,117789.57,24799888.48
EAST,2026-01-14,68775.5,24868663.98
EAST,2026-01-15,256053.43,25124717.41
EAST,2026-01-16,366145.38,25490862.79
EAST,2026-01-17,106013.43,25596876.22
EAST,2026-01-19,88144.54,25685020.76
EAST,2026-01-24,108215.64,25793236.4
EAST,2026-01-25,193635.36,25986871.76
EAST,2026-01-26,226206.37,26213078.13
EAST,2026-01-27,182207.69,26395285.82
EAST,2026-02-02,16283.05,26411568.87
EAST,2026-02-03,277768.62,26689337.49
EAST,2026-02-04,47796.69,26737134.18
EAST,2026-02-05,177939.84,26915074.03
EAST,2026-02-07,199378.07,27114452.1
EAST,2026-02-08,272111.36,27386563.46
EAST,2026-02-15,65557.69,27452121.16
EAST,2026-02-16,169608.15,27621729.31
EAST,2026-02-19,-49035.97,27572693.34
EAST,2026-02-27,309892.81,27882586.15
EAST,2026-02-28,144092.93,28026679.07
EAST,2026-03-04,181578.21,28208257.29
EAST,2026-03-06,156232.0,28364489.29
EAST,2026-03-08,137759.9,28502249.19
EAST,2026-03-10,354347.16,28856596.35
EAST,2026-03-11,299835.81,29156432.16
EAST,2026-03-19,101219.42,29257651.58
EAST,2026-03-21,230393.08,29488044.66
EAST,2026-03-22,380643.34,29868688.0
EAST,2026-03-30,264887.05,30133575.04
EAST,2026-03-31,47332.29,30180907.33
EAST,2026-04-03,232885.57,30413792.9
EAST,2026-04-10,262102.17,30675895.07
EAST,2026-04-12,224516.03,30900411.1
EAST,2026-04-14,85012.74,30985423.84
EAST,2026-04-16,330038.15,31315462.0
EAST,2026-04-19,10455.74,31325917.74
EAST,2026-04-20,109899.26,31435817.01
EAST,2026-04-26,286661.32,31722478.33
EAST,2026-05-02,840057.12,32562535.45
EAST,2026-05-03,140989.84,32703525.29
EAST,2026-05-07,127286.79,32830812.08
EAST,2026-05-09,166151.54,32996963.62
EAST,2026-05-10,287569.95,33284533.57
EAST,2026-05-11,332010.65,33616544.22
EAST,2026-05-15,29512.84,33646057.06
EAST,2026-05-16,162684.23,33808741.29
EAST,2026-05-18,26406.47,33835147.77
EAST,2026-05-19,241435.92,34076583.68
EAST,2026-05-22,87624.92,34164208.6
EAST,2026-05-25,33719.88,34197928.48
EAST,2026-05-26,74460.14,34272388.63
EAST,2026-05-31,241651.27,34514039.9
EAST,2026-06-01,441668.73,34955708.63
EAST,2026-06-03,78139.0,35033847.63
EAST,2026-06-04,222592.6,35256440.23
EAST,2026-06-06,202627.71,35459067.93
EAST,2026-06-07,187594.52,35646662.45
EAST,2026-06-11,73655.17,35720317.63
EAST,2026-06-14,167323.21,35887640.83
EAST,2026-06-17,460595.52,36348236.35
EAST,2026-06-18,221399.62,36569635.97
EAST,2026-06-20,218402.94,36788038.9
EAST,2026-06-28,144597.54,36932636.44
EAST,2026-07-06,153737.07,37086373.51
EAST,2026-07-07,229273.33,37315646.84
EAST,2026-07-18,216099.33,37531746.17
EAST,2026-07-22,56127.34,37587873.51
EAST,2026-08-01,117326.98,37705200.48
EAST,2026-08-02,77461.83,37782662.31
EAST,2026-08-05,294720.95,38077383.27
NORTH,2025-01-01,147070.96,147070.96
NORTH,2025-01-04,90289.64,237360.61
NORTH,2025-01-07,111508.29,348868.9
NORTH,2025-01-09,236644.83,585513.73
NORTH,2025-01-10,205603.27,791116.99
NORTH,2025-01-11,1193.69,792310.68
NORTH,2025-01-12,163921.55,956232.23
NORTH,2025-01-17,17107.28,973339.51
NORTH,2025-01-20,148981.9,1122321.41
NORTH,2025-01-29,-1540.49,1120780.92
NORTH,2025-01-30,175018.47,1295799.39
NORTH,2025-02-02,256343.17,1552142.55
NORTH,2025-02-03,222820.27,1774962.83
NORTH,2025-02-05,62259.57,1837222.39
NORTH,2025-02-07,148031.09,1985253.48
NORTH,2025-02-08,85733.17,2070986.65
NORTH,2025-02-09,55330.47,2126317.12
NORTH,2025-02-10,272717.66,2399034.79
NORTH,2025-02-14,317146.68,2716181.46
NORTH,2025-02-15,224904.57,2941086.04
NORTH,2025-02-16,356672.32,3297758.35
NORTH,2025-02-18,249657.34,3547415.7
NORTH,2025-03-01,120328.73,3667744.42
NORTH,2025-03-04,323414.67,3991159.09
NORTH,2025-03-05,252796.12,4243955.21
NORTH,2025-03-06,221690.21,4465645.42
NORTH,2025-03-18,452696.42,4918341.84
NORTH,2025-03-21,332983.6,5251325.44
NORTH,2025-03-26,46753.44,5298078.88
NORTH,2025-03-28,8005.39,5306084.27
NORTH,2025-04-02,137680.9,5443765.17
NORTH,2025-04-11,318350.18,5762115.35
NORTH,2025-04-12,-13992.46,5748122.89
NORTH,2025-04-16,349945.75,6098068.64
NORTH,2025-04-17,299840.96,6397909.6
NORTH,2025-04-19,153519.0,6551428.6
NORTH,2025-04-20,125913.79,6677342.39
NORTH,2025-04-24,203320.33,6880662.72
NORTH,2025-04-26,74984.18,6955646.9
NORTH,2025-05-09,205649.14,7161296.04
NORTH,2025-05-10,-37115.14,7124180.9
NORTH,2025-05-11,158851.73,7283032.63
NORTH,2025-05-14,66717.34,7349749.97
NORTH,2025-05-16,270232.39,7619982.36
NORTH,2025-05-17,30179.36,7650161.72
NORTH,2025-05-24,406326.09,8056487.81
NORTH,2025-05-25,78662.7,8135150.51
NORTH,2025-05-30,218620.34,8353770.86
NORTH,2025-06-01,321901.52,8675672.37
NORTH,2025-06-02,38977.22,8714649.59
NORTH,2025-06-03,68698.24,8783347.83
NORTH,2025-06-07,131564.6,8914912.43
NORTH,2025-06-11,272888.58,9187801.01
NORTH,2025-06-13,23554.58,9211355.59
NORTH,2025-06-20,439955.68,9651311.28
NORTH,2025-06-23,172544.27,9823855.55
NORTH,2025-06-26,69146.62,9893002.18
NORTH,2025-06-28,71708.25,9964710.42
NORTH,2025-06-29,246964.78,10211675.2
NORTH,2025-06-30,155249.4,10366924.61
NORTH,2025-07-01,48557.0,10415481.61
NORTH,2025-07-02,308577.46,10724059.07
NORTH,2025-07-05,267872.4,10991931.47
NORTH,2025-07-06,68017.52,11059948.98
NORTH,2025-07-08,319216.5,11379165.49
NORTH,2025-07-09,285833.46,11664998.94
NORTH,2025-07-19,514696.39,12179695.33
NORTH,2025-07-20,118544.35,12298239.68
NORTH,2025-07-21,183515.07,12481754.75
NORTH,2025-07-28,113025.78,12594780.53
NORTH,2025-07-30,296976.0,12891756.52
NORTH,2025-08-01,136275.44,13028031.96
NORTH,2025-08-02,193359.72,13221391.68
NORTH,2025-08-05,418927.2,13640318.88
NORTH,2025-08-11,184696.78,13825015.65
NORTH,2025-08-12,91903.55,13916919.2
NORTH,2025-08-14,98379.58,14015298.78
NORTH,2025-08-15,292206.75,14307505.53
NORTH,2025-08-20,181703.49,14489209.02
NORTH,2025-08-22,265926.29,14755135.31
NORTH,2025-08-23,54513.67,14809648.99
NORTH,2025-08-27,44860.7,14854509.69
NORTH,2025-08-28,82329.96,14936839.65
NORTH,2025-08-31,13705.03,14950544.68
NORTH,2025-09-03,239584.77,15190129.45
NORTH,2025-09-04,42053.92,15232183.37
NORTH,2025-09-07,103993.69,15336177.06
NORTH,2025-09-08,111551.1,15447728.16
NORTH,2025-09-11,78970.12,15526698.28
NORTH,2025-09-16,92712.32,15619410.61
NORTH,2025-09-17,398517.19,16017927.8
NORTH,2025-09-20,186287.92,16204215.72
NORTH,2025-09-23,238306.54,16442522.26
NORTH,2025-09-27,178855.75,16621378.01
NORTH,2025-09-29,240265.89,16861643.9
NORTH,2025-09-30,82851.84,16944495.74
NORTH,2025-10-03,129762.03,17074257.77
NORTH,2025-10-04,143693.38,17217951.15
NORTH,2025-10-10,208839.57,17426790.73
NORTH,2025-10-11,191421.4,17618212.12
NORTH,2025-10-14,52902.44,17671114.56
NORTH,2025-10-16,263579.31,17934693.87
NORTH,2025-10-18,517370.98,18452064.85
NORTH,2025-10-23,146585.32,18598650.16
NORTH,2025-10-29,46210.45,18644860.61
NORTH,2025-10-30,232303.64,18877164.25
NORTH,2025-11-02,257546.94,19134711.19
NORTH,2025-11-04,584748.28,19719459.47
NORTH,2025-11-05,125461.64,19844921.1
NORTH,2025-11-09,345637.95,20190559.05
NORTH,2025-11-10,215532.7,20406091.75
NORTH,2025-11-12,122444.22,20528535.96
NORTH,2025-11-14,249485.46,20778021.43
NORTH,2025-11-16,174337.42,20952358.85
NORTH,2025-11-20,72141.86,21024500.71
NORTH,2025-11-25,236185.84,21260686.55
NORTH,2025-11-29,310026.28,21570712.83
NORTH,2025-11-30,121706.95,21692419.78
NORTH,2025-12-06,440176.88,22132596.66
NORTH,2025-12-08,38085.01,22170681.66
NORTH,2025-12-09,180544.47,22351226.14
NORTH,2025-12-17,427783.55,22779009.69
NORTH,2025-12-19,180258.62,22959268.31
NORTH,2025-12-20,181818.02,23141086.33
NORTH,2025-12-28,29331.51,23170417.84
NORTH,2026-01-01,22197.94,23192615.77
NORTH,2026-01-03,26149.68,23218765.46
NORTH,2026-01-05,373796.08,23592561.54
NORTH,2026-01-11,251567.1,23844128.64
NORTH,2026-01-13,165043.15,24009171.8
NORTH,2026-01-16,234556.13,24243727.93
NORTH,2026-01-17,203913.36,24447641.28
NORTH,2026-01-21,161180.64,24608821.92
NORTH,2026-01-25,72939.41,24681761.33
NORTH,2026-01-26,44904.68,24726666.01
NORTH,2026-01-27,16811.59,24743477.6
NORTH,2026-01-29,462685.51,25206163.11
NORTH,2026-02-04,31418.59,25237581.7
NORTH,2026-02-05,343301.35,25580883.05
NORTH,2026-02-11,59347.45,25640230.5
NORTH,2026-02-13,96434.45,25736664.95
NORTH,2026-02-15,49557.22,25786222.17
NORTH,2026-02-18,193085.32,25979307.49
NORTH,2026-02-23,3383.47,25982690.96
NORTH,2026-02-24,107274.88,26089965.84
NORTH,2026-02-26,153351.91,26243317.75
NORTH,2026-02-27,271247.44,26514565.19
NORTH,2026-03-02,282134.39,26796699.58
NORTH,2026-03-03,323079.78,27119779.36
NORTH,2026-03-04,135841.82,27255621.18
NORTH,2026-03-08,182169.16,27437790.33
NORTH,2026-03-10,97457.49,27535247.83
NORTH,2026-03-12,95222.05,27630469.88
NORTH,2026-03-23,191478.75,27821948.63
NORTH,2026-03-26,317137.99,28139086.62
NORTH,2026-03-29,170600.52,28309687.13
NORTH,2026-03-30,193236.04,28502923.17
NORTH,2026-03-31,204259.31,28707182.48
NORTH,2026-04-02,368224.29,29075406.77
NORTH,2026-04-04,302970.3,29378377.07
NORTH,2026-04-06,238781.86,29617158.93
NORTH,2026-04-08,28586.87,29645745.8
NORTH,2026-04-09,33156.78,29678902.58
NORTH,2026-04-10,64655.71,29743558.29
NORTH,2026-04-11,428904.09,30172462.38
NORTH,2026-04-16,290229.27,30462691.65
NORTH,2026-04-17,70282.59,30532974.24
NORTH,2026-04-21,19579.42,30552553.66
NORTH,2026-04-23,58514.19,30611067.85
NORTH,2026-04-28,115828.48,30726896.33
NORTH,2026-04-29,157975.97,30884872.3
NORTH,2026-05-01,46690.2,30931562.5
NORTH,2026-05-06,163821.98,31095384.48
NORTH,2026-05-08,377961.52,31473346.0
NORTH,2026-05-10,193771.17,31667117.17
NORTH,2026-05-11,43168.98,31710286.16
NORTH,2026-05-12,380105.63,32090391.79
NORTH,2026-05-14,276227.14,32366618.93
NORTH,2026-05-15,81562.86,32448181.79
NORTH,2026-05-16,8165.66,32456347.45
NORTH,2026-05-18,92408.29,32548755.74
NORTH,2026-05-21,174058.93,32722814.66
NORTH,2026-05-22,130255.67,32853070.33
NORTH,2026-05-25,553091.98,33406162.31
NORTH,2026-05-26,19613.88,33425776.19
NORTH,2026-05-27,5502.39,33431278.58
NORTH,2026-05-28,105540.73,33536819.31
NORTH,2026-05-30,52589.24,33589408.55
NORTH,2026-06-01,28900.99,33618309.53
NORTH,2026-06-02,59242.98,33677552.51
NORTH,2026-06-05,121929.63,33799482.14
NORTH,2026-06-07,117878.22,33917360.36
NORTH,2026-06-09,124799.68,34042160.04
NORTH,2026-06-18,127596.29,34169756.33
NORTH,2026-06-20,130582.14,34300338.47
NORTH,2026-06-21,165646.45,34465984.92
NORTH,2026-06-22,375132.83,34841117.75
NORTH,2026-06-23,34978.59,34876096.34
NORTH,2026-06-24,30264.98,34906361.32
NORTH,2026-06-30,216160.72,35122522.04
NORTH,2026-07-01,46584.42,35169106.46
NORTH,2026-07-02,167705.6,35336812.06
