customer_id,first_category,last_category,category_shift
C0165,Clothing,Clothing,No
C0166,Home,Home,No
C0167,Clothing,Electronics,Yes
C0168,Electronics,Clothing,Yes
C0169,Home,Home,No
C0170,Home,Home,No
C0172,Electronics,Electronics,No
C0173,Books,Home,Yes
C0174,Clothing,Home,Yes
C0175,Books,Electronics,Yes
C0178,Books,Books,No
C0179,Home,Books,Yes
C0180,Clothing,Electronics,Yes
C0182,Home,Home,No
C0183,Books,Books,No
C0184,Clothing,Electronics,Yes
C0185,Home,Electronics,Yes
C0186,Home,Electronics,Yes
C0187,Clothing,Clothing,No
C0188,Home,Books,Yes
C0189,Books,Electronics,Yes
C0190,Home,Clothing,Yes
C0191,Clothing,Books,Yes
C0192,Books,Electronics,Yes
C0193,Electronics,Home,Yes
C0194,Clothing,Clothing,No
C0198,Electronics,Electronics,No
C0199,Home,Clothing,Yes
C0200,Clothing,Clothing,No
C0201,Electronics,Home,Yes
C0202,Home,Home,No
C0203,Home,Books,Yes
C0205,Books,Electronics,Yes
C0206,Books,Clothing,Yes
C0207,Clothing,Clothing,No
C0208,Electronics,Home,Yes
C0209,Home,Home,No
C0211,Books,Books,No
C0212,Clothing,Books,Yes
C0215,Clothing,Clothing,No
C0216,Electronics,Clothing,Yes
C0219,Clothing,Electronics,Yes
C0223,Home,Clothing,Yes
C0224,Clothing,Clothing,No
C0226,Books,Clothing,Yes
C0227,Clothing,Clothing,No
C0228,Home,Electronics,Yes
C0229,Electronics,Books,Yes
C0230,Home,Home,No
C0231,Home,Home,No
C0232,Electronics,Electronics,No
C0233,Clothing,Electronics,Yes
C0235,Books,Books,No
C0236,Home,Electronics,Yes
C0237,Clothing,Clothing,No
C0239,Books,Books,No
C0240,Home,Clothing,Yes
C0241,Clothing,Books,Yes
C0242,Clothing,Electronics,Yes
C0243,Electronics,Electronics,No
C0245,Books,Home,Yes
C0246,Home,Books,Yes
C0247,Books,Electronics,Yes
C0248,Books,Books,No
C0249,Clothing,Home,Yes
C0250,Electronics,Electronics,No
C0251,Electronics,Home,Yes
C0252,Electronics,Electronics,No
C0254,Clothing,Books,Yes
C0255,Books,Books,No
C0256,Clothing,Books,Yes
C0257,Electronics,Books,Yes
C0260,Books,Clothing,Yes
C0262,Electronics,Electronics,No
C0264,Electronics,Home,Yes
C0265,Books,Home,Yes
C0267,Clothing,Home,Yes
C0268,Home,Home,No
C0270,Electronics,Electronics,No
C0271,Books,Books,No
C0272,Clothing,Books,Yes
C0274,Home,Books,Yes
C0276,Books,Books,No
C0278,Electronics,Home,Yes
C0279,Electronics,Electronics,No
C0280,Home,Electronics,Yes
C0281,Home,Electronics,Yes
C0282,Electronics,Books,Yes
C0283,Books,Clothing,Yes
C0284,Clothing,Clothing,No
C0285,Books,Clothing,Yes
C0287,Electronics,Electronics,No
C0288,Home,Home,No
C0289,Home,Electronics,Yes
C0290,Books,Clothing,Yes
C0291,Books,Home,Yes
C0294,Home,Books,Yes
C0295,Clothing,Clothing,No
C0296,Clothing,Books,Yes
C0297,Books,Books,No
C0298,Clothing,Home,Yes
C0299,Electronics,Clothing,Yes
C0301,Clothing,Clothing,No
C0302,Books,Clothing,Yes
C0303,Electronics,Electronics,No
C0305,Home,Books,Yes
C0306,Clothing,Home,Yes
C0308,Electronics,Electronics,No
C0310,Electronics,Books,Yes
C0312,Books,Electronics,Yes
C0313,Electronics,Books,Yes
C0314,Home,Home,No
C0316,Clothing,Clothing,No
C0317,Electronics,Electronics,No
C0318,Home,Books,Yes
C0320,Books,Clothing,Yes
C0321,Clothing,Electronics,Yes
C0322,Electronics,Books,Yes
C0323,Clothing,Clothing,No
C0324,Books,Books,No
C0325,Clothing,Clothing,No
C0326,Books,Electronics,Yes
C0327,Home,Books,Yes
C0329,Electronics,Clothing,Yes
C0330,Books,Books,No
C0331,Electronics,Books,Yes
C0332,Home,Electronics,Yes
C0333,Electronics,Books,Yes
C0334,Books,Books,No
C0335,Clothing,Electronics,Yes
C0336,Home,Clothing,Yes
C0337,Clothing,Electronics,Yes
C0338,Clothing,Books,Yes
C0339,Home,Home,No
C0340,Electronics,Books,Yes
C0341,Electronics,Books,Yes
C0343,Electronics,Home,Yes
C0345,Clothing,Clothing,No
C0346,Home,Electronics,Yes
C0347,Electronics,Electronics,No
C0348,Clothing,Electronics,Yes
C0351,Home,Electronics,Yes
C0352,Books,Clothing,Yes
C0353,Electronics,Electronics,No
C0354,Home,Electronics,Yes
C0356,Electronics,Electronics,No
C0357,Books,Electronics,Yes
C0358,Clothing,Electronics,Yes
C0359,Clothing,Clothing,No
C0361,Electronics,Books,Yes
C0363,Electronics,Clothing,Yes
C0364,Books,Electronics,Yes
C0365,Books,Books,No
C0366,Home,Electronics,Yes
C0367,Clothing,Clothing,No
C0368,Electronics,Home,Yes
C0369,Electronics,Clothing,Yes
C0370,Books,Books,No
C0371,Clothing,Books,Yes
C0372,Home,Books,Yes
C0375,Home,Books,Yes
C0377,Clothing,Electronics,Yes
C0378,Books,Clothing,Yes
C0379,Electronics,Books,Yes
C0381,Electronics,Clothing,Yes
C0382,Electronics,Clothing,Yes
C0383,Home,Clothing,Yes
C0384,Clothing,Home,Yes
C0385,Clothing,Home,Yes
C0386,Clothing,Clothing,No
C0387,Books,Books,No
C0388,Home,Clothing,Yes
C0389,Electronics,Books,Yes
C0390,Electronics,Clothing,Yes
C0391,Clothing,Clothing,No
C0393,Electronics,Electronics,No
C0394,Electronics,Books,Yes
C0395,Electronics,Electronics,No
C0396,Clothing,Clothing,No
C0397,Home,Books,Yes
C0398,Books,Clothing,Yes
C0399,Clothing,Clothing,No
C0400,Books,Home,Yes
C0401,Home,Home,No
C0402,Electronics,Electronics,No
C0403,Books,Clothing,Yes
C0404,Clothing,Electronics,Yes
C0405,Home,Clothing,Yes
C0406,Books,Books,No
C0407,Home,Clothing,Yes
C0408,Electronics,Electronics,No
C0409,Books,Books,No
C0410,Books,Home,Yes
C0411,Clothing,Books,Yes
C0412,Books,Clothing,Yes
C0413,Electronics,Electronics,No
C0414,Electronics,Electronics,No
C0415,Home,Electronics,Yes
C0416,Books,Books,No
C0417,Clothing,Electronics,Yes
C0418,Home,Electronics,Yes
C0419,Electronics,Books,Yes
C0420,Electronics,Electronics,No
C0421,Electronics,Books,Yes
C0422,Books,Clothing,Yes
C0423,Books,Electronics,Yes
C0424,Electronics,Home,Yes
C0425,Clothing,Books,Yes
C0426,Electronics,Clothing,Yes
C0427,Electronics,Electronics,No
C0428,Books,Books,No
C0429,Home,Home,No
C0430,Clothing,Clothing,No
C0431,Home,Electronics,Yes
C0432,Books,Books,No
C0433,Clothing,Electronics,Yes
C0434,Electronics,Clothing,Yes
C0435,Electronics,Home,Yes
C0436,Books,Electronics,Yes
C0437,Electronics,Home,Yes
C0438,Electronics,Clothing,Yes
C0439,Home,Clothing,Yes
C0440,Home,Books,Yes
C0441,Electronics,Books,Yes
C0442,Home,Electronics,Yes
C0443,Electronics,Clothing,Yes
C0444,Home,Home,No
C0445,Electronics,Books,Yes
C0447,Home,Books,Yes
C0448,Electronics,Electronics,No
C0449,Home,Electronics,Yes
C0452,Electronics,Home,Yes
C0453,Clothing,Books,Yes
C0454,Electronics,Clothing,Yes
C0455,Clothing,Clothing,No
C0456,Clothing,Books,Yes
C0457,Books,Books,No
C0458,Home,Home,No
C0460,Home,Home,No
C0461,Electronics,Electronics,No
C0462,Books,Electronics,Yes
C0463,Electronics,Clothing,Yes
C0464,Home,Clothing,Yes
C0465,Clothing,Electronics,Yes
C0466,Books,Home,Yes
C0468,Clothing,Books,Yes
C0469,Clothing,Books,Yes
C0470,Home,Home,No
C0471,Books,Clothing,Yes
C0472,Electronics,Home,Yes
C0474,Electronics,Home,Yes
C0475,Books,Home,Yes
C0476,Electronics,Electronics,No
C0477,Clothing,Electronics,Yes
C0479,Electronics,Home,Yes
C0481,Books,Books,No
C0482,Home,Books,Yes
C0484,Electronics,Electronics,No
C0485,Home,Electronics,Yes
C0487,Electronics,Electronics,No
C0488,Home,Electronics,Yes
C0489,Books,Home,Yes
C0490,Electronics,Home,Yes
C0491,Electronics,Books,Yes
C0492,Home,Home,No
C0494,Books,Clothing,Yes
C0495,Home,Clothing,Yes
C0496,Electronics,Clothing,Yes
C0497,Clothing,Books,Yes
C0498,Home,Home,No
C0499,Electronics,Electronics,No
C0500,Books,Home,Yes
C0501,Electronics,Electronics,No
C0502,Clothing,Clothing,No
C0504,Electronics,Clothing,Yes
C0505,Books,Electronics,Yes
C0506,Home,Clothing,Yes
C0507,Home,Home,No
C0508,Home,Books,Yes
C0509,Books,Clothing,Yes
C0510,Books,Books,No
C0511,Electronics,Electronics,No
C0512,Books,Clothing,Yes
C0513,Clothing,Electronics,Yes
C0514,Books,Clothing,Yes
C0516,Clothing,Clothing,No
C0517,Home,Home,No
C0522,Home,Clothing,Yes
C0523,Clothing,Books,Yes
C0524,Books,Electronics,Yes
C0525,Electronics,Electronics,No
C0526,Books,Home,Yes
C0527,Home,Books,Yes
C0529,Electronics,Electronics,No
C0530,Books,Books,No
C0531,Home,Home,No
C0532,Electronics,Books,Yes
C0533,Books,Clothing,Yes
C0534,Clothing,Home,Yes
C0535,Electronics,Clothing,Yes
C0536,Clothing,Books,Yes
C0537,Books,Electronics,Yes
C0538,Clothing,Home,Yes
C0539,Home,Books,Yes
C0540,Electronics,Clothing,Yes
C0541,Books,Clothing,Yes
C0543,Clothing,Electronics,Yes
C0544,Books,Home,Yes
C0545,Home,Electronics,Yes
C0546,Clothing,Clothing,No
C0547,Electronics,Clothing,Yes
C0548,Books,Home,Yes
C0550,Books,Home,Yes
C0551,Books,Electronics,Yes
C0553,Books,Electronics,Yes
C0554,Clothing,Clothing,No
C0555,Clothing,Electronics,Yes
C0556,Clothing,Clothing,No
C0557,Electronics,Electronics,No
C0558,Clothing,Electronics,Yes
C0559,Clothing,Home,Yes
C0560,Books,Books,No
C0562,Books,Electronics,Yes
C0563,Home,Clothing,Yes
C0564,Electronics,Home,Yes
C0565,Books,Books,No
C0566,Home,Books,Yes
C0567,Home,Clothing,Yes
C0568,Books,Electronics,Yes
C0569,Home,Electronics,Yes
C0570,Books,Electronics,Yes
C0571,Electronics,Clothing,Yes
C0572,Clothing,Electronics,Yes
C0573,Clothing,Electronics,Yes
C0574,Electronics,Books,Yes
C0575,Clothing,Clothing,No
C0576,Clothing,Home,Yes
C0577,Clothing,Electronics,Yes
C0578,Electronics,Electronics,No
C0580,Clothing,Electronics,Yes
C0581,Clothing,Home,Yes
C0582,Home,Electronics,Yes
C0583,Clothing,Home,Yes
C0584,Home,Home,No
C0586,Clothing,Books,Yes
C0587,Books,Books,No
C0588,Clothing,Electronics,Yes
C0589,Electronics,Electronics,No
C0590,Home,Home,No
C0591,Books,Electronics,Yes
C0593,Books,Clothing,Yes
C0594,Electronics,Clothing,Yes
C0595,Electronics,Electronics,No
C0596,Electronics,Books,Yes
C0598,Home,Clothing,Yes
C0599,Electronics,Books,Yes
C0600,Books,Clothing,Yes
C0602,Books,Electronics,Yes
C0603,Clothing,Electronics,Yes
C0604,Electronics,Home,Yes
C0605,Electronics,Books,Yes
C0606,Home,Clothing,Yes
C0608,Clothing,Clothing,No
C0609,Electronics,Electronics,No
C0610,Books,Home,Yes
C0611,Home,Electronics,Yes
C0615,Clothing,Clothing,No
C0617,Books,Home,Yes
C0618,Books,Electronics,Yes
C0619,Books,Books,No
C0620,Electronics,Books,Yes
C0621,Home,Books,Yes
C0622,Electronics,Clothing,Yes
C0623,Books,Clothing,Yes
C0624,Books,Clothing,Yes
C0627,Clothing,Books,Yes
C0628,Books,Home,Yes
C0629,Electronics,Books,Yes
C0630,Clothing,Electronics,Yes
C0631,Electronics,Electronics,No
C0632,Home,Books,Yes
C0633,Clothing,Electronics,Yes
C0634,Books,Home,Yes
C0635,Clothing,Clothing,No
C0636,Electronics,Home,Yes
C0637,Books,Electronics,Yes
C0638,Home,Clothing,Yes
C0639,Books,Electronics,Yes
C0642,Books,Home,Yes
C0643,Clothing,Clothing,No
C0644,Books,Electronics,Yes
C0645,Electronics,Electronics,No
C0646,Books,Books,No
C0648,Books,Clothing,Yes
C0649,Books,Clothing,Yes
C0650,Books,Books,No
