customer_id,revenue,cumulative_revenue,cumulative_percent
C0069,586754.6,62286929.95,34.47
C0509,583151.12,62870081.06,34.79
C0447,581341.96,63451423.02,35.11
C0508,580710.09,64032133.11,35.44
C0387,579150.9,64611284.0,35.76
C0257,578356.27,65189640.28,36.08
C0389,577963.71,65767603.99,36.4
C0422,575941.69,66343545.68,36.71
C0434,573971.29,66917516.97,37.03
C0399,572721.62,67490238.59,37.35
C0495,570040.44,68060279.03,37.66
C0347,569209.33,68629488.36,37.98
C0513,565187.91,69194676.27,38.29
C0192,561865.31,69756541.57,38.6
C0323,557285.71,70313827.28,38.91
C0302,556393.64,70870220.92,39.22
C0149,556061.32,71426282.23,39.53
C0280,546164.09,71972446.32,39.83
C0115,545545.88,72517992.21,40.13
C0051,542925.57,73060917.78,40.43
C0211,540435.05,73601352.82,40.73
C0175,540417.21,74141770.03,41.03
C0021,537105.78,74678875.81,41.33
C0162,536070.8,75214946.6,41.62
C0124,530578.75,75745525.35,41.92
C0407,530152.71,76275678.06,42.21
C0173,530118.68,76805796.74,42.5
C0072,529249.09,77335045.83,42.8
C0564,527779.09,77862824.92,43.09
C0470,522439.02,78385263.94,43.38
C0272,518226.34,78903490.28,43.67
C0193,517040.93,79420531.21,43.95
C0167,514932.37,79935463.58,44.24
C0584,512084.29,80447547.88,44.52
C0603,510430.92,80957978.8,44.8
C0348,509628.05,81467606.85,45.08
C0491,508239.04,81975845.9,45.37
C0547,507365.81,82483211.71,45.65
C0106,506301.52,82989513.22,45.93
C0046,506058.23,83495571.46,46.21
C0408,500552.94,83996124.4,46.48
C0526,499974.85,84496099.25,46.76
C0424,498858.19,84994957.44,47.04
C0067,496429.46,85491386.9,47.31
C0620,490276.51,85981663.4,47.58
C0568,489702.82,86471366.22,47.85
C0455,489170.21,86960536.43,48.12
C0256,488096.33,87448632.76,48.39
C0154,484256.42,87932889.18,48.66
C0609,484099.85,88416989.04,48.93
C0452,481320.61,88898309.64,49.2
C0186,480337.7,89378647.34,49.46
C0442,479556.45,89858203.8,49.73
C0079,477959.02,90336162.82,49.99
C0008,474541.39,90810704.21,50.25
C0165,473880.36,91284584.57,50.52
C0318,473015.94,91757600.51,50.78
C0109,472052.05,92229652.57,51.04
C0002,469412.52,92699065.08,51.3
C0536,468304.06,93167369.14,51.56
C0096,467235.48,93634604.63,51.82
C0298,463426.31,94098030.94,52.07
C0572,461904.75,94559935.69,52.33
C0425,456369.29,95016304.98,52.58
C0062,456163.59,95472468.57,52.83
C0621,449133.19,95921601.76,53.08
C0562,445896.65,96367498.41,53.33
C0365,445224.47,96812722.88,53.58
C0215,443652.71,97256375.6,53.82
C0428,443548.26,97699923.85,54.07
C0208,443053.44,98142977.3,54.31
C0312,442471.5,98585448.8,54.56
C0417,438880.27,99024329.06,54.8
C0009,438595.5,99462924.56,55.04
C0168,436467.48,99899392.04,55.28
C0132,435400.52,100334792.55,55.53
C0054,431027.42,100765819.97,55.76
C0593,429224.65,101195044.62,56.0
C0156,427528.97,101622573.59,56.24
C0031,426237.55,102048811.14,56.47
C0001,426095.3,102474906.44,56.71
C0414,425342.22,102900248.66,56.94
C0182,424713.05,103324961.71,57.18
C0553,421191.39,103746153.1,57.41
C0301,420517.55,104166670.65,57.65
C0212,419289.81,104585960.46,57.88
C0581,418927.2,105004887.66,58.11
C0404,414956.26,105419843.91,58.34
C0321,412643.6,105832487.51,58.57
C0010,408859.55,106241347.06,58.79
C0090,408163.44,106649510.49,59.02
C0385,398062.55,107047573.05,59.24
C0255,396247.67,107443820.71,59.46
C0345,395283.69,107839104.4,59.68
C0141,391698.23,108230802.63,59.89
C0155,391076.18,108621878.81,60.11
C0524,389044.57,109010923.38,60.33
C0377,389012.89,109399936.27,60.54
C0034,388554.76,109788491.03,60.76
C0082,388220.79,110176711.82,60.97
C0148,388197.91,110564909.73,61.19
C0505,386744.8,110951654.54,61.4
C0262,385342.76,111336997.3,61.61
C0415,384842.54,111721839.83,61.83
C0538,384508.55,112106348.38,62.04
C0472,381980.77,112488329.16,62.25
C0454,380318.82,112868647.97,62.46
C0230,377016.59,113245664.56,62.67
C0110,376663.87,113622328.43,62.88
C0529,373864.22,113996192.65,63.09
C0649,368613.0,114364805.65,63.29
C0372,368198.26,114733003.91,63.49
C0320,367434.22,115100438.13,63.7
C0246,364656.46,115465094.58,63.9
C0336,362687.21,115827781.8,64.1
C0036,361642.56,116189424.35,64.3
C0457,360212.12,116549636.47,64.5
C0431,359996.85,116909633.32,64.7
C0590,358371.65,117268004.97,64.9
C0101,357412.45,117625417.42,65.09
C0361,356535.25,117981952.67,65.29
C0485,353820.73,118335773.4,65.49
C0327,353753.6,118689526.99,65.68
C0237,353751.67,119043278.66,65.88
C0135,352661.18,119395939.83,66.07
C0638,351275.86,119747215.69,66.27
C0103,349183.74,120096399.43,66.46
C0574,347956.48,120444355.91,66.65
C0430,347054.18,120791410.09,66.85
C0586,346730.58,121138140.67,67.04
C0147,346433.59,121484574.26,67.23
C0172,344754.28,121829328.54,67.42
C0322,344111.24,122173439.78,67.61
C0346,342421.55,122515861.33,67.8
C0600,338656.38,122854517.71,67.99
C0232,336919.47,123191437.18,68.17
C0169,336417.38,123527854.56,68.36
C0209,335708.98,123863563.54,68.55
C0465,334374.05,124197937.59,68.73
C0144,334312.4,124532249.99,68.92
C0299,331292.28,124863542.27,69.1
C0591,329042.26,125192584.53,69.28
C0427,328904.4,125521488.92,69.46
C0159,328026.12,125849515.04,69.64
C0206,327160.87,126176675.92,69.83
C0334,325901.38,126502577.29,70.01
C0174,325127.67,126827704.97,70.19
C0482,323764.32,127151469.29,70.37
C0052,321968.38,127473437.67,70.54
C0134,320640.76,127794078.43,70.72
C0627,319356.71,128113435.13,70.9
C0397,319025.36,128432460.49,71.07
C0351,318470.96,128750931.45,71.25
C0458,317137.99,129068069.44,71.43
C0324,315669.51,129383738.94,71.6
C0137,315320.18,129699059.12,71.78
C0161,315007.43,130014066.55,71.95
C0247,311257.7,130325324.24,72.12
C0290,310107.76,130635432.0,72.29
C0582,309497.09,130944929.09,72.46
C0245,307548.78,131252477.87,72.63
C0401,307371.79,131559849.66,72.81
C0240,306715.22,131866564.88,72.97
C0481,305897.28,132172462.16,73.14
C0440,305317.59,132477779.75,73.31
C0095,305297.16,132783076.91,73.48
C0061,303361.96,133086438.87,73.65
C0461,303344.05,133389782.91,73.82
C0636,303143.19,133692926.11,73.99
C0527,301749.22,133994675.33,74.15
C0532,301727.46,134296402.79,74.32
C0058,301540.85,134597943.64,74.49
C0276,301409.25,134899352.89,74.65
C0296,300617.99,135199970.88,74.82
C0111,299610.78,135499581.66,74.99
C0099,298599.06,135798180.72,75.15
C0634,298419.24,136096599.96,75.32
C0190,296976.0,136393575.95,75.48
C0282,295202.27,136688778.22,75.64
C0199,293999.93,136982778.15,75.81
C0123,292823.93,137275602.09,75.97
C0125,292440.26,137568042.35,76.13
C0371,291778.51,137859820.85,76.29
C0285,291140.71,138150961.56,76.45
C0594,289451.89,138440413.45,76.61
C0279,289103.48,138729516.93,76.77
C0381,288227.83,139017744.76,76.93
C0474,287742.19,139305486.95,77.09
C0569,287569.95,139593056.89,77.25
C0466,286552.44,139879609.34,77.41
C0187,286111.55,140165720.89,77.57
C0013,285441.18,140451162.06,77.73
C0632,285031.19,140736193.26,77.88
C0504,284926.86,141021120.12,78.04
C0356,282745.22,141303865.34,78.2
C0436,281910.94,141585776.28,78.35
C0032,281888.5,141867664.78,78.51
C0416,280779.48,142148444.27,78.66
C0405,279994.89,142428439.16,78.82
C0618,277948.09,142706387.25,78.97
C0557,277055.92,142983443.17,79.13
C0098,274606.2,143258049.38,79.28
C0522,273124.98,143531174.36,79.43
C0313,272111.36,143803285.72,79.58
C0639,271953.09,144075238.81,79.73
C0534,270990.35,144346229.16,79.88
C0624,270817.78,144617046.94,80.03
C0287,268286.63,144885333.56,80.18
C0353,267938.81,145153272.37,80.33
C0158,267281.73,145420554.11,80.48
C0044,264978.89,145685533.0,80.62
C0496,264785.41,145950318.41,80.77
C0453,263715.2,146214033.6,80.91
C0420,260557.95,146474591.55,81.06
C0089,258508.26,146733099.81,81.2
C0065,258108.2,146991208.02,81.34
C0233,255387.77,147246595.79,81.49
C0558,255162.74,147501758.53,81.63
C0512,254648.49,147756407.02,81.77
C0500,253936.75,148010343.76,81.91
C0063,253267.35,148263611.11,82.05
C0188,253086.23,148516697.34,82.19
C0251,252809.37,148769506.7,82.33
C0288,252154.0,149021660.71,82.47
C0091,249888.61,149271549.32,82.61
C0630,249831.69,149521381.0,82.74
C0622,248159.63,149769540.63,82.88
C0049,246916.85,150016457.47,83.02
C0207,245793.4,150262250.87,83.15
C0066,245670.13,150507921.0,83.29
C0278,244520.09,150752441.09,83.43
C0056,241651.27,150994092.37,83.56
C0118,241532.92,151235625.28,83.69
C0352,241054.77,151476680.05,83.83
C0366,240584.6,151717264.65,83.96
C0576,240574.69,151957839.34,84.09
C0305,239609.42,152197448.76,84.23
C0644,239584.77,152437033.53,84.36
C0525,239556.83,152676590.36,84.49
C0497,239058.59,152915648.95,84.62
C0163,238824.07,153154473.02,84.76
C0094,238592.18,153393065.2,84.89
C0128,237764.45,153630829.65,85.02
C0378,237700.72,153868530.36,85.15
C0341,237508.3,154106038.66,85.28
C0410,236440.79,154342479.45,85.41
C0053,235407.07,154577886.53,85.54
C0456,234137.22,154812023.74,85.67
C0471,232933.0,155044956.75,85.8
C0382,231747.85,155276704.6,85.93
C0555,230937.85,155507642.45,86.06
C0224,228052.62,155735695.06,86.18
C0047,227956.43,155963651.49,86.31
C0343,226104.48,156189755.97,86.44
C0029,221690.21,156411446.18,86.56
C0514,221051.21,156632497.4,86.68
C0150,220794.57,156853291.97,86.8
C0007,220626.83,157073918.8,86.92
C0530,218620.34,157292539.15,87.05
C0544,218198.25,157510737.4,87.17
C0570,217528.56,157728265.95,87.29
C0231,216957.51,157945223.47,87.41
C0015,216889.95,158162113.42,87.53
C0604,215145.38,158377258.8,87.65
C0406,213699.52,158590958.32,87.76
C0170,212841.77,158803800.08,87.88
C0179,211901.29,159015701.38,88.0
C0338,211643.88,159227345.26,88.12
C0419,211130.37,159438475.63,88.23
C0479,209974.83,159648450.46,88.35
C0249,208839.57,159857290.03,88.46
C0589,207767.63,160065057.67,88.58
C0580,207398.93,160272456.6,88.69
C0016,206475.33,160478931.93,88.81
C0357,204134.69,160683066.63,88.92
C0501,203471.66,160886538.28,89.03
C0523,203366.85,161089905.13,89.15
C0164,203338.52,161293243.65,89.26
C0506,203320.33,161496563.98,89.37
C0476,202627.71,161699191.69,89.48
C0308,202099.07,161901290.75,89.6
C0216,201629.18,162102919.94,89.71
C0510,200719.34,162303639.27,89.82
C0611,198887.06,162502526.33,89.93
C0449,198512.3,162701038.63,90.04
C0464,198023.98,162899062.61,90.15
C0635,196677.36,163095739.97,90.26
C0502,196560.47,163292300.44,90.37
C0588,196220.55,163488520.99,90.47
C0201,195382.8,163683903.79,90.58
C0619,194795.91,163878699.7,90.69
C0048,194330.73,164073030.44,90.8
C0310,192715.25,164265745.69,90.9
C0126,191500.24,164457245.93,91.01
C0426,189698.05,164646943.98,91.12
C0254,187737.77,164834681.74,91.22
C0121,186390.43,165021072.18,91.32
C0575,186324.42,165207396.6,91.43
C0284,185747.1,165393143.7,91.53
C0074,184699.89,165577843.59,91.63
C0102,182207.69,165760051.28,91.73
C0303,181818.02,165941869.3,91.83
C0439,181703.49,166123572.79,91.93
C0270,181405.78,166304978.56,92.03
C0369,181142.42,166486120.98,92.13
C0602,180086.05,166666207.03,92.23
C0260,179692.44,166845899.47,92.33
C0189,179321.82,167025221.28,92.43
C0535,176508.69,167201729.97,92.53
C0606,173454.59,167375184.56,92.63
C0511,173075.34,167548259.9,92.72
C0037,172469.54,167720729.44,92.82
C0364,169088.46,167889817.9,92.91
C0598,169013.32,168058831.22,93.0
C0433,168908.76,168227739.98,93.1
C0229,167323.21,168395063.19,93.19
C0077,165646.45,168560709.64,93.28
C0421,163821.98,168724531.62,93.37
C0289,162704.28,168887235.9,93.46
C0120,159426.23,169046662.13,93.55
C0358,159299.44,169205961.57,93.64
C0390,158989.73,169364951.3,93.73
C0413,158502.48,169523453.78,93.81
C0637,157975.97,169681429.75,93.9
C0633,157881.85,169839311.6,93.99
C0073,156997.74,169996309.34,94.08
C0363,156030.56,170152339.9,94.16
C0068,154399.39,170306739.29,94.25
C0395,154397.02,170461136.3,94.33
C0035,153771.9,170614908.2,94.42
C0517,153589.12,170768497.32,94.5
C0571,153529.46,170922026.79,94.59
C0105,153519.0,171075545.79,94.67
C0033,153379.63,171228925.41,94.76
C0223,153351.91,171382277.33,94.84
C0264,151121.42,171533398.75,94.93
C0560,151086.07,171684484.82,95.01
C0333,151084.96,171835569.78,95.09
C0643,148990.57,171984560.35,95.18
C0396,146586.69,172131147.04,95.26
C0325,142077.68,172273224.72,95.34
C0337,141309.03,172414533.75,95.41
C0444,137680.9,172552214.65,95.49
C0599,137164.49,172689379.15,95.57
C0460,135378.15,172824757.29,95.64
C0281,134140.24,172958897.54,95.72
C0437,133613.47,173092511.01,95.79
C0432,132708.45,173225219.47,95.86
C0531,131372.78,173356592.24,95.94
C0540,130867.73,173487459.97,96.01
C0274,130291.42,173617751.4,96.08
C0498,127556.91,173745308.31,96.15
C0055,126189.16,173871497.46,96.22
C0386,125723.52,173997220.98,96.29
C0113,125503.46,174122724.44,96.36
C0330,124228.0,174246952.44,96.43
C0267,123909.68,174370862.12,96.5
C0184,123085.85,174493947.97,96.56
C0411,122718.99,174616666.97,96.63
C0577,120795.13,174737462.09,96.7
C0354,119873.39,174857335.48,96.77
C0083,117789.57,174975125.05,96.83
C0248,115676.49,175090801.54,96.9
C0388,114652.98,175205454.52,96.96
C0391,112971.84,175318426.36,97.02
C0650,112934.88,175431361.24,97.08
C0423,112240.19,175543601.43,97.15
C0545,111762.0,175655363.43,97.21
C0578,111648.4,175767011.83,97.27
C0127,111551.82,175878563.65,97.33
C0160,110601.0,175989164.65,97.39
C0018,109337.8,176098502.45,97.45
C0087,106013.43,176204515.88,97.51
C0563,105054.26,176309570.14,97.57
C0375,104346.64,176413916.78,97.63
C0294,103937.24,176517854.02,97.68
C0041,102339.84,176620193.85,97.74
C0326,101219.42,176721413.27,97.8
C0268,98254.77,176819668.04,97.85
C0484,98117.95,176917785.99,97.91
C0086,97824.15,177015610.14,97.96
C0250,97151.63,177112761.77,98.01
C0409,92049.42,177204811.19,98.06
C0533,91595.56,177296406.75,98.12
C0112,90358.56,177386765.31,98.17
C0097,88938.36,177475703.66,98.21
C0617,84037.75,177559741.41,98.26
C0152,83020.65,177642762.06,98.31
C0332,82615.55,177725377.62,98.35
C0283,82282.65,177807660.26,98.4
C0314,80478.15,177888138.41,98.44
C0317,79861.25,177967999.66,98.49
C0418,79772.65,178047772.31,98.53
C0645,79171.26,178126943.57,98.58
C0076,78686.88,178205630.44,98.62
C0295,78073.91,178283704.35,98.66
C0226,77461.83,178361166.18,98.7
C0566,76732.37,178437898.55,98.75
C0205,76628.69,178514527.24,98.79
C0331,76518.42,178591045.66,98.83
C0359,73655.17,178664700.84,98.87
C0108,72794.81,178737495.65,98.91
C0543,72350.27,178809845.92,98.95
C0203,71777.95,178881623.87,98.99
C0252,71708.25,178953332.11,99.03
C0075,69146.62,179022478.74,99.07
C0014,68912.2,179091390.93,99.11
C0629,68887.89,179160278.83,99.15
C0178,67945.47,179228224.3,99.18
C0235,64935.52,179293159.82,99.22
C0339,61371.52,179354531.34,99.25
C0507,61169.98,179415701.33,99.29
C0227,59780.27,179475481.6,99.32
C0028,58841.72,179534323.32,99.35
C0448,57280.31,179591603.63,99.39
C0057,57261.96,179648865.59,99.42
C0489,52569.81,179701435.4,99.45
C0202,50374.4,179751809.8,99.47
C0219,50022.76,179801832.56,99.5
C0004,47332.29,179849164.84,99.53
C0017,46584.42,179895749.26,99.55
C0379,46447.71,179942196.98,99.58
C0402,46210.45,179988407.43,99.61
C0200,44904.68,180033312.11,99.63
C0145,44860.7,180078172.81,99.66
C0516,43368.45,180121541.26,99.68
C0151,41742.51,180163283.77,99.7
C0623,41662.0,180204945.78,99.73
C0139,41157.46,180246103.24,99.75
C0492,41064.63,180287167.87,99.77
C0064,39083.26,180326251.13,99.79
C0071,38702.71,180364953.84,99.81
C0443,38192.15,180403145.99,99.83
C0646,37672.87,180440818.86,99.86
C0194,35276.09,180476094.94,99.88
C0565,34978.59,180511073.53,99.89
C0271,34460.61,180545534.14,99.91
C0081,29512.84,180575046.98,99.93
C0107,29024.18,180604071.16,99.95
C0030,28824.46,180632895.62,99.96
C0243,28479.07,180661374.69,99.98
C0595,27345.94,180688720.63,99.99
C0239,16811.59,180705532.22,100.0
C0198,15131.33,180720663.56,100.01
C0027,13741.83,180734405.39,100.02
C0130,12671.83,180747077.22,100.03
C0012,10981.15,180758058.37,100.03
C0608,10918.98,180768977.35,100.04
C0070,10353.82,180779331.17,100.04
C0556,8165.66,180787496.83,100.05
C0370,818.18,180788315.01,100.05
C0129,-23584.41,180764730.61,100.03
C0297,-26790.8,180737939.8,100.02
C0183,-36354.85,180701584.96,100.0
